ID	Kind	Name	Min	Max	Mode	Median	Mean	Total	query(count)	query(coverage)	query(coverage/max)	query(coverage/mode)	Pathway_ID
M00765_1	FuncSet	Multidrug resistance, efflux pump Bmr	0.0	100.0	5	0.0	0.6649	2	0	0.0	0.0	0.0	M00765
M00434_1	FuncSet	PhoR-PhoB (phosphate starvation response) two-component regulatory system	0.0	100.0	95	100.0	53.4909	2	2	1.0	1.0	1.05263157895	M00434
M00644_1	FuncSet	Vanadium resistance, efflux pump MexGHI-OpmD	0.0	100.0	5	0.0	0.5664	3	0	0.0	0.0	0.0	M00644
M00628_1	FuncSet	beta-Lactam resistance, AmpC system	0.0	100.0	5	25.0	31.0584	4	4	1.0	1.0	20.0	M00628
M00520_1	FuncSet	ChvG-ChvI (acidity sensing) two-component regulatory system	0.0	100.0	5	0.0	7.6284	2	0	0.0	0.0	0.0	M00520
M00513_1	FuncSet	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system	0.0	100.0	5	0.0	1.1821	4	0	0.0	0.0	0.0	M00513
M00683_1	FuncSet	Hippo signaling	0.0	100.0	5	0.0	4.2205	4	0	0.0	0.0	0.0	M00683
M00684_1	FuncSet	JAK-STAT signaling	0.0	100.0	5	0.0	4.2852	3	0	0.0	0.0	0.0	M00684
M00713_1	FuncSet	Fluoroquinolone resistance, efflux pump LfrA	0.0	100.0	5	0.0	6.945	2	0	0.0	0.0	0.0	M00713
M00655_1	FuncSet	AdeS-AdeR two-component regulatory system	0.0	100.0	5	0.0	3.0661	2	2	1.0	1.0	20.0	M00655
M00685_1	FuncSet	Apoptotic machinery	0.0	100.0	5	0.0	3.8173	3	0	0.0	0.0	0.0	M00685
M00681_1	FuncSet	Activin signaling	0.0	100.0	5	0.0	3.5464	3	0	0.0	0.0	0.0	M00681
M00490_1	FuncSet	MalK-MalR (malate transport) two-component regulatory system	0.0	100.0	5	0.0	2.6598	2	0	0.0	0.0	0.0	M00490
M00734_1	FuncSet	BraS-BraR (bacitracin transport) two-component regulatory system	0.0	100.0	5	0.0	0.4802	2	0	0.0	0.0	0.0	M00734
M00715_1	FuncSet	Lincosamide resistance, efflux pump LmrB	0.0	100.0	5	0.0	6.6494	2	0	0.0	0.0	0.0	M00715
M00512_1	FuncSet	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system	0.0	100.0	5	0.0	7.0804	3	0	0.0	0.0	0.0	M00512
M00510_1	FuncSet	Cph1-Rcp1 (light response) two-component regulatory system	0.0	100.0	5	0.0	0.6649	2	0	0.0	0.0	0.0	M00510
M00738_1	FuncSet	Bacitracin resistance, BceAB transporter	0.0	100.0	5	0.0	2.6844	3	0	0.0	0.0	0.0	M00738
