type	number	misc	seq_id	start	finish
UN	2466	.	G_contig000001	1	16
UN	2467	.	G_contig000001	73329	73329
UN	2468	.	G_contig000001	73331	73332
UN	2469	.	G_contig000001	73336	73354
UN	2470	.	G_contig000001	73360	73360
UN	2471	.	G_contig000001	73362	73363
UN	2472	.	G_contig000001	123972	123985
UN	2473	.	G_contig000001	124090	124140
UN	2474	.	G_contig000001	125526	125539
UN	2475	.	G_contig000001	125645	125691
UN	2476	.	G_contig000002	1	76
UN	2477	.	G_contig000002	83714	83714
UN	2478	.	G_contig000002	83717	83717
UN	2479	.	G_contig000002	83719	83730
UN	2480	.	G_contig000002	136700	136700
UN	2481	.	G_contig000002	136702	136703
UN	2482	.	G_contig000002	136708	136709
UN	2483	.	G_contig000002	148748	148748
UN	2484	.	G_contig000003	45794	45794
UN	2485	.	G_contig000003	45797	45797
UN	2486	.	G_contig000003	45803	45803
UN	2487	.	G_contig000003	45805	45806
UN	2488	.	G_contig000003	138328	138331
UN	2489	.	G_contig000004	1	19
UN	2490	.	G_contig000004	107985	108062
UN	2491	.	G_contig000004	109397	109424
UN	2492	.	G_contig000005	1	1
UN	2493	.	G_contig000005	23671	23705
UN	2494	.	G_contig000005	23971	24016
UN	2495	.	G_contig000005	105739	105773
UN	2496	.	G_contig000006	37009	37056
UN	2497	.	G_contig000006	37082	37131
UN	2498	.	G_contig000007	17426	17427
UN	2499	.	G_contig000007	17433	17450
UN	2500	.	G_contig000007	98460	98499
UN	2501	.	G_contig000008	1	14
UN	2502	.	G_contig000008	43348	43494
UN	2503	.	G_contig000008	43642	43787
UN	2504	.	G_contig000008	43865	44163
UN	2505	.	G_contig000008	44293	44763
UN	2506	.	G_contig000008	44893	45025
UN	2507	.	G_contig000008	89670	89722
UN	2508	.	G_contig000009	1	81
UN	2509	.	G_contig000009	88753	88784
UN	2510	.	G_contig000010	1	22
UN	2511	.	G_contig000010	35542	35635
UN	2512	.	G_contig000010	35798	35879
UN	2513	.	G_contig000011	16200	16250
UN	2514	.	G_contig000012	79260	79285
UN	2515	.	G_contig000014	35590	35596
UN	2516	.	G_contig000014	47648	47655
UN	2517	.	G_contig000014	75919	75997
UN	2518	.	G_contig000015	1	76
UN	2519	.	G_contig000015	33794	33800
UN	2520	.	G_contig000015	33802	33803
UN	2521	.	G_contig000015	33805	33805
UN	2522	.	G_contig000015	33807	33807
UN	2523	.	G_contig000015	75930	75930
UN	2524	.	G_contig000016	53000	53032
UN	2525	.	G_contig000016	53034	53036
UN	2526	.	G_contig000016	53235	53240
UN	2527	.	G_contig000016	56108	56114
UN	2528	.	G_contig000016	56119	56119
UN	2529	.	G_contig000016	70671	70746
UN	2530	.	G_contig000017	1	58
UN	2531	.	G_contig000017	69059	69137
UN	2532	.	G_contig000018	1	25
UN	2533	.	G_contig000018	21002	21002
UN	2534	.	G_contig000018	68890	68964
UN	2535	.	G_contig000019	1	76
UN	2536	.	G_contig000019	37738	37742
UN	2537	.	G_contig000019	62814	62814
UN	2538	.	G_contig000019	62816	62820
UN	2539	.	G_contig000019	62822	62822
UN	2540	.	G_contig000019	62824	62824
UN	2541	.	G_contig000020	65330	65334
UN	2542	.	G_contig000021	63764	63770
UN	2543	.	G_contig000022	1	35
UN	2544	.	G_contig000022	62164	62184
UN	2545	.	G_contig000022	62440	62468
UN	2546	.	G_contig000023	1	10
UN	2547	.	G_contig000023	12	13
UN	2548	.	G_contig000023	19	19
UN	2549	.	G_contig000023	42353	42398
