type	number	misc	seq_id	start	finish
UN	2163	.	G_contig000001	1	16
UN	2164	.	G_contig000001	23	23
UN	2165	.	G_contig000001	55202	55202
UN	2166	.	G_contig000001	73323	73323
UN	2167	.	G_contig000001	73325	73325
UN	2168	.	G_contig000001	73327	73327
UN	2169	.	G_contig000001	73329	73354
UN	2170	.	G_contig000001	123972	123985
UN	2171	.	G_contig000001	124086	124140
UN	2172	.	G_contig000001	125525	125539
UN	2173	.	G_contig000001	125640	125691
UN	2174	.	G_contig000001	198260	198260
UN	2175	.	G_contig000002	1	84
UN	2176	.	G_contig000002	72377	72377
UN	2177	.	G_contig000002	83719	83722
UN	2178	.	G_contig000002	83724	83725
UN	2179	.	G_contig000002	83728	83729
UN	2180	.	G_contig000002	97156	97163
UN	2181	.	G_contig000002	148741	148748
UN	2182	.	G_contig000003	77360	77367
UN	2183	.	G_contig000003	100784	100793
UN	2184	.	G_contig000003	100795	100795
UN	2185	.	G_contig000003	100799	100799
UN	2186	.	G_contig000003	100801	100811
UN	2187	.	G_contig000003	138642	138646
UN	2188	.	G_contig000003	138651	138651
UN	2189	.	G_contig000003	138664	138664
UN	2190	.	G_contig000003	138666	138666
UN	2191	.	G_contig000004	1	19
UN	2192	.	G_contig000004	160	160
UN	2193	.	G_contig000004	107985	108062
UN	2194	.	G_contig000004	109397	109424
UN	2195	.	G_contig000005	1	1
UN	2196	.	G_contig000005	23671	23705
UN	2197	.	G_contig000005	23712	23712
UN	2198	.	G_contig000005	23714	23714
UN	2199	.	G_contig000005	23716	23716
UN	2200	.	G_contig000005	23965	24000
UN	2201	.	G_contig000005	105752	105773
UN	2202	.	G_contig000006	37009	37056
UN	2203	.	G_contig000006	37082	37131
UN	2204	.	G_contig000007	17426	17427
UN	2205	.	G_contig000007	17430	17430
UN	2206	.	G_contig000007	17432	17432
UN	2207	.	G_contig000007	17434	17434
UN	2208	.	G_contig000007	17438	17438
UN	2209	.	G_contig000007	92595	92598
UN	2210	.	G_contig000007	92872	92872
UN	2211	.	G_contig000007	98425	98425
UN	2212	.	G_contig000007	98430	98499
UN	2213	.	G_contig000008	1	17
UN	2214	.	G_contig000008	43341	43486
UN	2215	.	G_contig000008	43642	43791
UN	2216	.	G_contig000008	43873	44163
UN	2217	.	G_contig000008	44288	44420
UN	2218	.	G_contig000008	44477	44763
UN	2219	.	G_contig000008	44887	45028
UN	2220	.	G_contig000008	89654	89722
UN	2221	.	G_contig000009	1	90
UN	2222	.	G_contig000009	17120	17128
UN	2223	.	G_contig000009	88753	88784
UN	2224	.	G_contig000010	1	30
UN	2225	.	G_contig000010	12158	12165
UN	2226	.	G_contig000010	35542	35639
UN	2227	.	G_contig000010	35706	35706
UN	2228	.	G_contig000010	35798	35878
UN	2229	.	G_contig000010	55664	55664
UN	2230	.	G_contig000010	55667	55667
UN	2231	.	G_contig000010	61076	61083
UN	2232	.	G_contig000011	16245	16253
UN	2233	.	G_contig000012	79249	79285
UN	2234	.	G_contig000013	1	2
UN	2235	.	G_contig000013	205	206
UN	2236	.	G_contig000013	6995	7002
UN	2237	.	G_contig000013	7006	7006
UN	2238	.	G_contig000013	15627	15630
UN	2239	.	G_contig000013	15638	15640
UN	2240	.	G_contig000013	15648	15648
UN	2241	.	G_contig000013	15651	15663
UN	2242	.	G_contig000013	15958	15974
UN	2243	.	G_contig000013	30207	30208
UN	2244	.	G_contig000013	30505	30505
UN	2245	.	G_contig000013	56388	56389
UN	2246	.	G_contig000013	68564	68564
UN	2247	.	G_contig000013	68571	68571
UN	2248	.	G_contig000014	35590	35596
UN	2249	.	G_contig000014	47596	47597
UN	2250	.	G_contig000014	47599	47626
UN	2251	.	G_contig000014	48021	48021
UN	2252	.	G_contig000014	75919	75997
UN	2253	.	G_contig000015	1	76
UN	2254	.	G_contig000015	8890	8902
UN	2255	.	G_contig000015	8904	8904
UN	2256	.	G_contig000015	33794	33800
UN	2257	.	G_contig000015	33805	33805
UN	2258	.	G_contig000015	33807	33807
UN	2259	.	G_contig000015	33814	33814
UN	2260	.	G_contig000015	75927	75930
UN	2261	.	G_contig000016	53001	53027
UN	2262	.	G_contig000016	53246	53277
UN	2263	.	G_contig000016	70671	70746
UN	2264	.	G_contig000017	1	64
UN	2265	.	G_contig000017	5476	5477
