Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FCE86_RS29645, 3531.3, 9, 0.13, 1.87, 13.5153
FCE86_RS28800, 3796.3, 8, 0.14, 1.54, 11.4347
FCE86_RS01655, 679.3, 7, 0.03, 7.55, 14.8705
FCE86_RS19490, 594.7, 7, 0.02, 8.63, 15.274
FCE86_RS28150, 1169.7, 7, 0.04, 4.39, 13.2257
FCE86_RS11535, 1036.7, 6, 0.04, 4.24, 11.3348
FCE86_RS01565, 972.7, 5, 0.04, 3.77, 9.28328
FCE86_RS12355, 466.0, 5, 0.02, 7.86, 10.8743
FCE86_RS02565, 1052.7, 4, 0.04, 2.78, 7.00933
FCE86_RS04220, 1088.7, 4, 0.04, 2.69, 6.95138
FCE86_RS17545, 4984.7, 4, 0.19, 0.59, 4.35896
FCE86_RS21950, 5985.7, 4, 0.22, 0.49, 4.054
FCE86_RS31710, 375.7, 4, 0.01, 7.80, 8.79047
FCE86_RS02560, 1052.7, 3, 0.04, 2.09, 5.00255
FCE86_RS07815, 826.0, 3, 0.03, 2.66, 5.31572
FCE86_RS08945, 750.0, 3, 0.03, 2.93, 5.44055
FCE86_RS13720, 1756.0, 3, 0.07, 1.25, 4.34442
FCE86_RS13920, 2779.0, 3, 0.10, 0.79, 3.75876
FCE86_RS15255, 1794.0, 3, 0.07, 1.23, 4.31699
FCE86_RS10295, 727.3, 2, 0.03, 2.01, 3.43774
FCE86_RS32080, 526.3, 2, 0.02, 2.78, 3.71651
