Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFF34_RS19240, 1286.0, 6, 0.03, 3.71, 11.9138
FFF34_RS16780, 2958.0, 5, 0.07, 1.34, 7.83365
FFF34_RS18515, 1296.3, 5, 0.03, 3.07, 9.61054
FFF34_RS18725, 1074.3, 5, 0.03, 3.70, 10.0165
FFF34_RS18785, 2886.7, 5, 0.07, 1.38, 7.88604
FFF34_RS18335, 642.3, 4, 0.02, 4.95, 8.62145
FFF34_RS18975, 1545.3, 4, 0.04, 2.06, 7.10398
FFF34_RS19575, 775.7, 4, 0.02, 4.10, 8.29491
FFF34_RS14670, 1096.7, 3, 0.03, 2.18, 5.51672
FFF34_RS15135, 1459.0, 3, 0.04, 1.64, 5.14763
FFF34_RS18670, 815.0, 3, 0.02, 2.93, 5.90126
FFF34_RS17625, 1645.3, 2, 0.04, 0.97, 3.11346
FFF34_RS17630, 369.7, 2, 0.01, 4.30, 4.40144
FFF34_RS17635, 311.7, 2, 0.01, 5.11, 4.54927
FFF34_RS17675, 2015.0, 2, 0.05, 0.79, 2.94
FFF34_RS18765, 1193.7, 2, 0.03, 1.33, 3.38905
