Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI39_RS05175, 2155.0, 10, 0.10, 3.59, 16.7077
FFI39_RS18885, 871.3, 9, 0.04, 7.98, 18.2131
FFI39_RS01420, 1763.0, 7, 0.08, 3.07, 11.4197
FFI39_RS07830, 2041.0, 6, 0.09, 2.27, 9.099
FFI39_RS03610, 1434.7, 5, 0.06, 2.69, 8.04088
FFI39_RS04125, 1315.0, 5, 0.06, 2.94, 8.22805
FFI39_RS05490, 922.3, 5, 0.04, 4.19, 8.99182
FFI39_RS13030, 1249.3, 5, 0.06, 3.09, 8.33822
FFI39_RS17455, 2685.3, 5, 0.12, 1.44, 6.70008
FFI39_RS22645, 583.3, 5, 0.03, 6.63, 9.98113
FFI39_RS24965, 896.7, 5, 0.04, 4.31, 9.05268
FFI39_RS10765, 804.3, 4, 0.04, 3.84, 7.14869
FFI39_RS10805, 1659.0, 4, 0.08, 1.86, 5.90446
FFI39_RS13300, 581.0, 4, 0.03, 5.32, 7.71022
FFI39_RS23125, 657.0, 4, 0.03, 4.71, 7.49786
FFI39_RS26810, 372.7, 4, 0.02, 8.30, 8.47837
FFI39_RS01565, 539.0, 3, 0.02, 4.30, 5.62451
FFI39_RS01655, 1156.3, 3, 0.05, 2.01, 4.63911
FFI39_RS02905, 878.7, 3, 0.04, 2.64, 4.9928
FFI39_RS03520, 865.7, 3, 0.04, 2.68, 5.01203
FFI39_RS11605, 960.3, 3, 0.04, 2.41, 4.87821
FFI39_RS16695, 1254.3, 3, 0.06, 1.85, 4.53456
FFI39_RS19250, 955.0, 3, 0.04, 2.43, 4.88539
FFI39_RS19425, 1290.0, 3, 0.06, 1.80, 4.49855
FFI39_RS20475, 1351.3, 3, 0.06, 1.72, 4.43894
FFI39_RS20535, 248.0, 3, 0.01, 9.35, 6.63164
FFI39_RS22265, 989.0, 3, 0.04, 2.34, 4.84031
FFI39_RS24205, 1032.0, 3, 0.05, 2.25, 4.78549
FFI39_RS26215, 636.3, 3, 0.03, 3.64, 5.40966
FFI39_RS26530, 2044.7, 3, 0.09, 1.13, 3.90954
FFI39_RS01730, 822.0, 2, 0.04, 1.88, 3.17083
FFI39_RS03360, 619.0, 2, 0.03, 2.50, 3.41454
FFI39_RS04190, 378.7, 2, 0.02, 4.08, 3.83827
FFI39_RS05630, 672.0, 2, 0.03, 2.30, 3.34388
FFI39_RS23230, 940.0, 2, 0.04, 1.64, 3.05586
FFI39_RS24745, 1043.7, 2, 0.05, 1.48, 2.96634
FFI39_RS25950, 809.0, 2, 0.04, 1.91, 3.18451
