Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FCE86_RS31055, 4442.0, 10, 0.14, 1.64, 34.793
FCE86_RS13275, 1141.7, 8, 0.04, 5.10, 37.1539
FCE86_RS11820, 3531.3, 7, 0.11, 1.44, 23.9215
FCE86_RS13165, 5632.3, 7, 0.18, 0.90, 20.712
FCE86_RS30725, 355.7, 6, 0.01, 12.28, 33.4742
FCE86_RS12230, 1430.0, 5, 0.05, 2.54, 20.2726
FCE86_RS16805, 1101.3, 5, 0.04, 3.30, 21.5697
FCE86_RS03490, 397.7, 5, 0.01, 9.15, 26.6443
FCE86_RS32300, 3244.7, 5, 0.10, 1.12, 16.224
FCE86_RS17330, 1028.0, 4, 0.03, 2.83, 16.8822
FCE86_RS02210, 11073.0, 4, 0.35, 0.26, 7.62882
FCE86_RS00430, 1471.3, 3, 0.05, 1.48, 11.0097
FCE86_RS11855, 8947.7, 3, 0.28, 0.24, 5.77104
FCE86_RS15340, 1449.0, 3, 0.05, 1.51, 11.055
FCE86_RS29480, 1052.7, 3, 0.03, 2.07, 12.0042
FCE86_RS11050, 4999.7, 3, 0.16, 0.44, 7.4239
