type	number	misc	seq_id	start	finish
UN	1442	.	G_contig000001	1	20
UN	1443	.	G_contig000001	363	379
UN	1444	.	G_contig000001	22662	22690
UN	1445	.	G_contig000001	313438	313451
UN	1446	.	G_contig000001	313455	313455
UN	1447	.	G_contig000001	313458	313458
UN	1448	.	G_contig000001	313460	313460
UN	1449	.	G_contig000001	322958	322959
UN	1450	.	G_contig000001	322962	322964
UN	1451	.	G_contig000001	322966	322968
UN	1452	.	G_contig000001	322972	322972
UN	1453	.	G_contig000001	343934	343942
UN	1454	.	G_contig000001	367494	367505
UN	1455	.	G_contig000001	479096	479100
UN	1456	.	G_contig000001	516016	516026
UN	1457	.	G_contig000001	680668	680697
UN	1458	.	G_contig000001	740846	740846
UN	1459	.	G_contig000001	740849	740849
UN	1460	.	G_contig000001	740852	740853
UN	1461	.	G_contig000001	740855	740856
UN	1462	.	G_contig000001	740858	740858
UN	1463	.	G_contig000001	740860	740861
UN	1464	.	G_contig000001	759910	759913
UN	1465	.	G_contig000001	759922	759922
UN	1466	.	G_contig000001	780267	780267
UN	1467	.	G_contig000001	780516	780563
UN	1468	.	G_contig000001	842782	842782
UN	1469	.	G_contig000001	842786	842802
UN	1470	.	G_contig000001	948486	948495
UN	1471	.	G_contig000001	948499	948499
UN	1472	.	G_contig000001	948501	948502
UN	1473	.	G_contig000001	966949	966975
UN	1474	.	G_contig000001	966979	966979
UN	1475	.	G_contig000001	966986	966986
UN	1476	.	G_contig000001	978581	978625
UN	1477	.	G_contig000002	1	24
UN	1478	.	G_contig000002	48744	48751
UN	1479	.	G_contig000002	48753	48762
UN	1480	.	G_contig000002	88404	88411
UN	1481	.	G_contig000002	91153	91154
UN	1482	.	G_contig000002	91156	91166
UN	1483	.	G_contig000002	122003	122018
UN	1484	.	G_contig000002	122020	122023
UN	1485	.	G_contig000002	144678	144685
UN	1486	.	G_contig000002	244148	244148
UN	1487	.	G_contig000002	244151	244151
UN	1488	.	G_contig000002	244160	244160
UN	1489	.	G_contig000002	301445	301454
UN	1490	.	G_contig000002	378152	378169
UN	1491	.	G_contig000002	378172	378172
UN	1492	.	G_contig000002	401923	401932
UN	1493	.	G_contig000002	401934	401934
UN	1494	.	G_contig000002	427701	427718
UN	1495	.	G_contig000002	428170	428190
UN	1496	.	G_contig000002	428459	428511
UN	1497	.	G_contig000002	428962	428963
UN	1498	.	G_contig000002	485282	485303
UN	1499	.	G_contig000002	540458	540458
UN	1500	.	G_contig000002	540462	540463
UN	1501	.	G_contig000002	540503	540567
UN	1502	.	G_contig000003	1	1
UN	1503	.	G_contig000003	26238	26238
UN	1504	.	G_contig000003	26241	26241
UN	1505	.	G_contig000003	26244	26245
UN	1506	.	G_contig000003	26249	26258
UN	1507	.	G_contig000003	33009	33009
UN	1508	.	G_contig000003	76805	76808
UN	1509	.	G_contig000003	76811	76813
UN	1510	.	G_contig000003	76815	76824
