Pathway_ID	ATCC13985	ATCC43928	KBS0701	KBS0702	KBS0703	KBS0705	KBS0706	KBS0707	KBS0710	KBS0711	KBS0712	KBS0714	KBS0715	KBS0721	KBS0722	KBS0724	KBS0725	KBS0801	KBS0802	KBS0812
M00005	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00006	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
M00008	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
M00012	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
M00013	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0
M00024	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1
M00025	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0
M00027	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1
M00029	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
M00032	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0
M00033	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0
M00034	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
M00036	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1
M00038	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
M00040	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00044	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00045	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
M00046	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0
M00060	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00061	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1
M00063	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00064	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0
M00066	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
M00082	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1
M00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00087	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
M00088	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1
M00089	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1
M00093	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1
M00095	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
M00096	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00098	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1
M00107	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
M00116	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1
M00117	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0
M00118	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0
M00119	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
M00120	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00122	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00123	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1
M00124	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00126	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
M00127	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00129	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0
M00133	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1
M00134	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1
M00135	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1
M00136	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0
M00144	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
M00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00155	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
M00156	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0
M00159	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00169	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00170	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0
M00172	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00176	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
M00185	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0
M00186	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
M00188	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1
M00189	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
M00190	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0
M00191	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
M00193	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0
M00194	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00196	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1
M00198	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0
M00199	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00200	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0
M00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M00204	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
M00206	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
M00207	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1
M00208	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1
M00209	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00210	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00211	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1
M00212	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1
M00213	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
M00215	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0
M00216	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0
M00218	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
M00220	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
M00221	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1
