type	number	misc	seq_id	start	finish
UN	747	.	G_contig000001	1	4
UN	748	.	G_contig000001	298	298
UN	749	.	G_contig000002	1	2
UN	750	.	G_contig000002	7790	7795
UN	751	.	G_contig000003	1	5
UN	752	.	G_contig000003	70320	70320
UN	753	.	G_contig000003	70322	70323
UN	754	.	G_contig000003	70325	70327
UN	755	.	G_contig000003	70330	70332
UN	756	.	G_contig000003	70337	70339
UN	757	.	G_contig000003	70341	70343
UN	758	.	G_contig000003	70348	70359
UN	759	.	G_contig000003	226173	226205
UN	760	.	G_contig000003	321610	321640
UN	761	.	G_contig000003	350003	350003
UN	762	.	G_contig000003	350006	350006
UN	763	.	G_contig000003	479686	479687
UN	764	.	G_contig000004	1	11
UN	765	.	G_contig000006	1	3
UN	766	.	G_contig000006	12887	12945
UN	767	.	G_contig000006	74922	74922
UN	768	.	G_contig000006	104930	104987
UN	769	.	G_contig000006	125520	125520
UN	770	.	G_contig000006	125524	125524
UN	771	.	G_contig000006	186771	186829
UN	772	.	G_contig000006	193537	193537
UN	773	.	G_contig000006	193539	193540
UN	774	.	G_contig000007	1	4
UN	775	.	G_contig000007	16084	16092
UN	776	.	G_contig000008	1	2
UN	777	.	G_contig000008	62140	62142
UN	778	.	G_contig000009	1	10
UN	779	.	G_contig000009	143	146
UN	780	.	G_contig000009	17670	17725
UN	781	.	G_contig000009	103847	103890
UN	782	.	G_contig000009	146800	146825
UN	783	.	G_contig000009	156273	156293
UN	784	.	G_contig000009	161679	161702
UN	785	.	G_contig000009	161928	161931
UN	786	.	G_contig000009	162152	162227
UN	787	.	G_contig000009	200292	200344
UN	788	.	G_contig000010	9735	9791
UN	789	.	G_contig000010	24674	24709
UN	790	.	G_contig000010	39059	39059
UN	791	.	G_contig000010	63249	63252
UN	792	.	G_contig000010	73449	73483
UN	793	.	G_contig000010	73631	73659
UN	794	.	G_contig000010	74344	74344
UN	795	.	G_contig000010	74347	74356
UN	796	.	G_contig000010	83033	83079
UN	797	.	G_contig000010	138706	138706
UN	798	.	G_contig000010	158990	158990
UN	799	.	G_contig000010	158995	158995
UN	800	.	G_contig000010	168707	168708
UN	801	.	G_contig000010	277966	277968
UN	802	.	G_contig000010	277970	277970
UN	803	.	G_contig000010	277972	277972
UN	804	.	G_contig000010	301988	301988
UN	805	.	G_contig000010	323960	323960
UN	806	.	G_contig000010	330815	330815
UN	807	.	G_contig000010	338719	338746
UN	808	.	G_contig000010	339057	339088
UN	809	.	G_contig000010	339778	339778
UN	810	.	G_contig000011	818	818
UN	811	.	G_contig000012	1	1
UN	812	.	G_contig000012	3948	4035
UN	813	.	G_contig000012	4149	4149
UN	814	.	G_contig000013	1	1
UN	815	.	G_contig000013	10934	11017
UN	816	.	G_contig000013	34255	34265
UN	817	.	G_contig000013	34270	34270
UN	818	.	G_contig000013	34272	34278
UN	819	.	G_contig000013	34280	34280
UN	820	.	G_contig000013	39409	39435
UN	821	.	G_contig000013	46436	46436
UN	822	.	G_contig000013	46438	46517
UN	823	.	G_contig000013	126422	126481
UN	824	.	G_contig000013	126848	126912
UN	825	.	G_contig000013	210663	210663
UN	826	.	G_contig000013	211433	211507
UN	827	.	G_contig000013	229828	229835
UN	828	.	G_contig000013	229939	229942
UN	829	.	G_contig000014	291	291
UN	830	.	G_contig000015	1	1
UN	831	.	G_contig000015	115	210
UN	832	.	G_contig000016	1	4
UN	833	.	G_contig000016	9747	9747
UN	834	.	G_contig000016	9752	9753
UN	835	.	G_contig000016	9755	9755
UN	836	.	G_contig000016	9759	9769
UN	837	.	G_contig000016	11371	11372
UN	838	.	G_contig000016	11394	11394
UN	839	.	G_contig000016	11397	11397
UN	840	.	G_contig000016	11400	11429
UN	841	.	G_contig000016	13681	13688
UN	842	.	G_contig000017	1	3
UN	843	.	G_contig000017	21172	21245
UN	844	.	G_contig000017	21247	21247
UN	845	.	G_contig000017	36382	36382
UN	846	.	G_contig000017	230039	230053
