Gene,mult,mult_syn,mean_freq,mean_freq_syn
FCE86_RS00380, 0.224580, 0.297719, 0.273572, 0.118850
FCE86_RS01565, 3.766861, 4.796639, 0.129836, 0.135611
FCE86_RS01655, 7.550726, 7.615208, 0.127047, 0.124944
FCE86_RS01735, 0.744695, 3.449143, 0.081028, 0.079156
FCE86_RS01780, 0.332830, 1.397054, 0.067462, 0.069940
FCE86_RS02560, 2.088353, 5.157967, 0.160224, 0.096665
FCE86_RS02565, 2.784471, 5.157967, 0.075417, 0.106460
FCE86_RS02625, 0.908030, 5.784587, 0.172564, 0.119087
FCE86_RS04220, 2.692394, 4.587141, 0.148462, 0.130423
FCE86_RS06260, 1.441534, 3.633608, 0.212997, 0.185082
FCE86_RS06280, 1.394886, 3.516509, 0.107031, 0.109961
FCE86_RS06630, 0.345271, 1.353088, 0.171101, 0.180881
FCE86_RS07115, 0.490591, 3.378488, 0.108284, 0.099167
FCE86_RS07675, 0.773247, 2.374223, 0.146758, 0.127335
FCE86_RS07815, 2.661429, 13.537239, 0.147479, 0.151255
FCE86_RS08385, 1.104139, 4.793219, 0.055199, 0.052221
FCE86_RS08945, 2.931120, 4.348920, 0.352077, 0.278063
FCE86_RS09165, 0.944304, 2.638026, 0.128830, 0.159025
FCE86_RS09310, 1.347848, 6.807005, 0.097311, 0.098195
FCE86_RS09320, 1.535154, 6.826361, 0.084922, 0.090747
FCE86_RS10295, 2.014977, 5.366476, 0.079370, 0.082547
FCE86_RS11040, 1.951536, 2.078268, 0.115822, 0.123534
FCE86_RS11535, 4.241170, 1.517768, 0.097890, 0.095109
FCE86_RS12355, 7.862446, 3.097553, 0.173851, 0.201787
FCE86_RS13720, 1.251902, 1.505081, 0.104330, 0.108198
FCE86_RS13920, 0.791054, 0.527026, 0.133054, 0.159718
FCE86_RS14640, 0.834285, 3.470752, 0.185844, 0.236145
FCE86_RS15255, 1.225385, 1.702556, 0.213746, 0.208737
FCE86_RS15460, 1.230185, 1.323862, 0.051877, 0.059626
FCE86_RS16095, 1.193453, 4.975345, 0.110876, 0.157938
FCE86_RS16100, 0.848125, 4.211586, 0.118715, 0.158300
FCE86_RS16245, 0.594628, 2.420777, 0.071136, 0.078017
FCE86_RS17025, 0.621527, 0.916261, 0.105566, 0.101986
FCE86_RS17545, 0.588027, 0.144586, 0.109642, 0.209561
FCE86_RS18225, 0.803487, 0.800201, 0.092659, 0.091094
FCE86_RS19485, 1.524508, 6.232337, 0.085687, 0.079423
FCE86_RS19490, 8.625773, 5.991524, 0.184326, 0.193300
FCE86_RS20340, 1.596471, 4.899191, 0.119186, 0.102585
FCE86_RS21950, 0.489690, 1.089899, 0.098074, 0.110390
FCE86_RS28150, 4.385403, 1.230028, 0.166324, 0.134400
FCE86_RS28540, 2.263996, 7.475929, 0.350081, 0.085754
FCE86_RS28800, 1.544185, 1.634711, 0.181570, 0.103338
FCE86_RS28810, 0.329957, 1.237159, 0.148527, 0.122964
FCE86_RS28915, 0.521428, 1.514046, 0.101278, 0.092978
FCE86_RS29610, 0.163792, 0.256627, 0.091609, 0.110510
FCE86_RS29645, 1.867572, 2.688787, 0.096930, 0.107586
FCE86_RS29840, 1.086673, 7.348787, 0.153759, 0.134158
FCE86_RS30420, 0.988907, 5.784587, 0.142957, 0.151329
