freq	total_cov	major_cov	minor_cov
0.070327282	92	84	8
0.0556468964	107	100	6
0.0545463562	127	120	7
0.0657420158	127	118	9
0.229823112	88	66	22
0.255024433	46	33	13
0.0555000305	125	118	7
0.286906242	62	42	17
0.0507516861	145	137	8
0.0787959099	149	135	12
0.0504922867	98	93	5
0.324537754	65	43	22
0.406534672	72	41	28
0.0572967529	121	114	7
0.431774616	66	37	28
0.052778244	94	89	5
0.0528898239	166	156	10
0.167664528	61	50	11
0.0640625954	93	87	6
0.0540456772	173	163	10
0.0540661812	110	104	6
0.056599617	105	99	6
0.0921196938	75	68	7
0.0525541306	132	125	7
0.0576448441	172	161	10
0.0637965202	140	131	9
0.0667438507	119	111	8
0.0515437126	142	134	8
0.074488163	87	80	7
0.0588035583	118	111	7
0.0630607605	126	118	8
0.0621304512	87	81	6
0.0515685081	96	91	5
0.101733208	128	111	15
0.387732029	18	11	7
0.0863761902	61	53	6
0.0520792007	152	144	8
0.0766377449	158	143	15
0.22520256	117	88	29
0.0612621307	81	76	5
0.0683031082	100	93	7
0.0757679939	105	97	8
0.0535340309	111	105	6
0.051782608	131	124	7
0.10667181	178	152	23
0.0532274246	130	123	7
0.0546441078	127	120	7
0.127943993	89	77	12
0.0594906807	100	94	6
0.0526609421	113	107	6
0.0554823875	125	118	7
0.0798726082	115	105	10
0.0519413948	116	108	6
0.13183403	128	107	20
0.186672688	72	57	15
0.0516853333	134	127	7
0.156996727	167	134	30
0.146389008	172	137	29
0.102985859	133	117	14
0.0591573715	134	126	8
0.0500454903	158	150	8
0.0632338524	86	80	5
0.367614746	61	38	23
0.318676472	42	27	14
0.0612025261	162	152	10
0.0681605339	102	95	7
0.106492519	112	99	13
0.0597610474	83	78	5
0.0660672188	105	98	7
0.15535593	92	65	12
0.243142128	84	53	20
0.149438858	104	85	18
0.0727972984	89	82	7
0.300678253	86	53	26
0.090467453	77	70	7
0.150409222	81	67	14
0.0561819077	122	115	7
0.0728640556	150	139	11
0.0555205345	125	118	7
0.0570120811	87	82	5
0.0525836945	113	107	6
0.0508904457	136	129	7
0.0563344955	92	86	5
0.0887641907	96	87	9
0.193505287	87	62	18
0.251560688	87	54	23
0.0529789925	119	112	7
0.185646057	88	66	18
0.115588665	43	38	5
0.0516839027	115	109	6
0.0953655243	124	109	15
0.0757398605	105	97	8
0.131606579	89	73	14
0.157243729	91	75	16
0.150383949	96	79	17
0.162109375	95	74	17
0.0724263191	96	89	7
0.347831249	61	36	18
0.0588159561	92	86	6
0.0698189735	107	98	9
0.206192493	122	94	28
0.229728222	118	86	28
0.0558767319	121	114	7
0.0678472519	88	81	6
0.185530186	71	57	14
0.203405857	149	105	35
0.0638489723	140	129	10
0.0746221542	120	111	9
0.0750751495	126	116	10
0.0543923378	91	86	5
0.0511469841	116	110	6
0.1984725	104	76	18
0.0623493195	111	104	7
0.0554804802	107	101	6
0.053943634	165	156	9
0.0698852539	71	66	5
0.27930975	47	33	14
0.105828762	143	122	19
0.204574108	147	109	33
0.118273735	91	78	13
0.264259815	101	67	27
0.0651049614	97	90	7
