freq	total_cov	major_cov	minor_cov
0.0519986153	130	121	9
0.0673007965	89	83	6
0.0648417473	90	83	7
0.10527277	115	101	13
0.19563818	63	48	11
0.132997513	74	57	10
0.224020481	83	63	20
0.127652645	67	55	9
0.0775580406	67	61	6
0.176123142	62	50	12
0.107367516	112	98	14
0.123231411	124	105	18
0.0832982063	122	102	11
0.0816597939	104	94	10
0.0682053566	70	65	5
0.0721759796	70	65	5
0.141571999	61	51	10
0.131771088	97	82	14
0.151765347	48	40	8
0.210072517	98	74	22
0.091050148	108	96	11
0.146696091	113	88	15
0.0809640884	148	135	13
0.150058746	77	65	12
0.217699528	54	41	12
0.0876297951	57	52	5
0.139107227	139	117	21
0.120958328	66	58	8
0.109649658	73	65	8
0.10959959	73	65	8
0.112653255	71	63	8
0.112157345	71	63	8
0.112672329	71	63	8
0.118098736	76	67	9
0.105647087	85	76	9
0.0595965385	67	63	4
0.108737469	55	49	6
0.055803299	106	99	7
0.0924730301	180	145	18
0.0952916145	246	217	28
0.0604128838	99	93	6
0.323980331	60	40	18
0.204768181	38	28	8
0.159496307	75	63	12
0.323503017	106	71	34
0.0595345497	598	561	37
0.156998158	86	70	13
0.282376766	40	27	11
0.28512907	40	28	11
0.189520359	61	49	12
0.102807045	51	45	6
0.0611476898	203	187	13
