frequency	mutation_category
0.0606269836	snp_nonsynonymous
0.05879879	snp_nonsynonymous
0.0678477287	snp_nonsynonymous
0.0693068504	snp_nonsynonymous
0.347309113	snp_nonsynonymous
0.0520305634	snp_synonymous
0.0558800697	snp_nonsynonymous
0.0518841743	snp_intergenic
0.085354805	snp_nonsynonymous
0.0590662956	snp_nonsynonymous
0.0566148758	snp_nonsynonymous
0.0562243462	snp_nonsynonymous
0.0588622093	snp_nonsynonymous
0.0571117401	snp_intergenic
0.155256748	snp_nonsynonymous
0.0556960106	snp_nonsynonymous
0.42024374	snp_intergenic
0.183507442	snp_nonsynonymous
0.0593829155	snp_synonymous
0.197972298	snp_nonsynonymous
0.0547981262	snp_nonsynonymous
0.0565085411	snp_nonsynonymous
0.0630269051	snp_synonymous
0.0553507805	snp_intergenic
0.0566997528	snp_nonsynonymous
0.0664491653	snp_synonymous
0.189043522	snp_nonsynonymous
0.073387146	snp_nonsynonymous
0.266542912	snp_intergenic
0.0878896713	snp_nonsynonymous
0.0773859024	snp_synonymous
0.0779414177	snp_nonsynonymous
0.053858757	snp_nonsynonymous
0.0560665131	snp_nonsynonymous
0.05636549	snp_nonsynonymous
0.0708613396	snp_nonsynonymous
0.0792794228	snp_nonsynonymous
0.0538105965	snp_nonsynonymous
0.0509719849	snp_synonymous
0.0611028671	snp_intergenic
0.194638729	snp_nonsynonymous
0.0803046227	snp_nonsynonymous
0.41742897	snp_nonsynonymous
0.0535287857	snp_nonsynonymous
0.310659885	snp_nonsynonymous
0.105775356	snp_nonsynonymous
0.229064465	snp_nonsynonymous
0.059442997	snp_intergenic
0.0512456894	snp_nonsynonymous
0.0571684837	snp_synonymous
0.0653619766	snp_synonymous
0.0656824112	snp_nonsynonymous
0.0541391373	snp_nonsynonymous
0.0762295723	snp_nonsynonymous
0.139994144	snp_synonymous
0.0580911636	snp_nonsynonymous
0.066573143	snp_nonsynonymous
0.059220314	snp_nonsynonymous
0.0511445999	snp_nonsynonymous
0.0524082184	snp_intergenic
0.0505442619	snp_synonymous
0.132913589	snp_nonsynonymous
0.175118446	snp_nonsynonymous
0.0564184189	snp_nonsynonymous
