freq	total_cov	major_cov	minor_cov
0.0748295784	146	135	11
0.0698442459	157	146	11
0.0707263947	155	144	11
0.0746831894	155	143	12
0.0695405006	157	146	11
0.0707273483	155	144	11
0.0624256134	128	120	8
0.113670349	44	39	5
0.113365173	44	39	5
0.103851318	48	43	5
0.10241127	39	35	4
0.102119446	39	35	4
0.0783343315	51	47	4
0.226439476	84	65	19
0.237882614	119	90	28
0.173023224	110	91	19
0.207568645	106	84	22
0.142424583	105	90	15
0.125951767	95	83	12
0.159422398	94	79	15
0.0603299141	99	93	6
0.0980682373	102	92	10
0.0976495743	102	92	10
0.0524601936	114	108	6
0.0782408714	127	117	10
0.0822072029	133	122	11
0.0592722893	109	99	6
0.127871037	78	68	10
0.374973297	64	40	24
0.407006264	59	35	24
0.357984066	67	43	24
0.403085709	62	37	25
0.375206947	64	40	24
0.358166695	67	43	24
0.177117348	45	37	8
0.177595139	45	37	8
0.142753124	56	48	8
0.142673969	56	48	8
0.537418365	80	43	37
0.537166595	80	43	37
0.505712986	93	47	46
0.510903835	92	47	45
0.521992683	90	47	43
0.511100769	90	46	44
0.469527721	100	53	47
0.469778538	101	53	47
0.484758854	101	52	49
0.356652737	81	52	29
0.362321854	80	51	29
0.266459942	60	44	16
0.279580593	57	41	16
0.272514343	55	40	15
0.365679741	60	38	22
0.405729294	54	32	22
0.401214123	54	32	22
0.407363892	54	32	22
0.498684883	44	22	22
0.380732536	63	39	24
0.357962608	67	43	24
0.35689497	67	43	24
0.357274055	67	43	24
0.343088627	64	42	22
0.348798752	63	41	22
0.131958008	75	65	10
0.142659664	70	60	10
0.159621239	72	60	11
0.146651268	68	58	10
0.146809578	68	58	10
0.146556377	68	58	10
0.146672726	68	58	10
0.140550613	71	61	10
0.131238937	76	66	10
0.13130188	76	66	10
0.131536961	76	66	10
0.134950161	74	64	10
0.13876009	72	62	10
0.115727901	77	68	9
0.100897312	79	71	8
0.108024597	74	66	8
0.126960754	63	55	8
0.127793789	63	55	8
0.126704693	63	55	8
0.100222588	80	72	8
0.100554466	80	71	8
0.109142303	80	70	9
0.102226257	78	70	8
0.103225231	78	69	8
0.0887584686	90	82	8
0.0908589363	88	80	8
0.0912213326	84	76	8
0.089758873	89	81	8
0.0847434998	94	86	8
0.0887656212	90	82	8
0.266517162	75	55	20
0.130292416	69	60	9
0.115961075	70	61	9
0.139701843	63	53	9
0.138337612	65	56	9
0.13602066	66	57	9
0.13598156	66	57	9
0.203870773	54	43	11
0.204344749	53	42	11
0.210704803	52	41	11
0.158349037	63	53	10
0.128642559	62	54	8
0.135545254	59	51	8
0.142484665	56	48	8
0.136325359	59	50	8
0.137750626	58	50	8
0.060148716	83	77	5
0.0598359108	83	78	5
0.0621752739	80	75	5
0.0639023781	78	73	5
0.0772871971	105	95	8
0.0765399933	104	96	8
0.0751466751	106	98	8
0.0747408867	107	99	8
0.0724797249	110	102	8
0.0726251602	110	102	8
0.0689134598	115	107	8
0.078104496	102	94	8
0.0798630714	100	92	8
0.0813579559	98	90	8
0.124943256	95	83	12
0.0764842033	104	96	8
0.076880455	104	96	8
0.154033184	123	104	19
0.164376259	115	96	19
0.177387714	107	88	19
0.162390709	117	98	19
0.176292896	112	92	20
0.16981554	112	93	19
0.17246151	110	91	19
0.147263527	115	98	17
0.144578457	119	101	17
0.139724255	120	103	17
0.139731884	119	102	17
0.14289093	119	101	17
0.107801437	74	66	8
0.11067009	72	64	8
0.107774734	74	66	8
0.0927834511	86	78	8
0.0950722694	84	76	8
0.0893502235	89	81	8
0.0951275826	84	76	8
0.0923409462	84	76	8
0.0763382912	91	84	7
0.0767526627	91	84	7
0.0812339783	86	79	7
0.211303711	142	112	30
0.207578659	144	114	30
0.213646889	140	110	30
0.213947296	140	110	30
0.213840008	141	110	30
0.18837738	154	125	29
0.174685001	143	118	25
0.155816078	160	135	25
0.151134014	165	140	25
0.0665774345	75	70	5
0.117136955	85	75	10
0.277640343	47	34	13
0.27048254	48	35	13
0.271349907	48	35	13
0.227745056	57	44	13
0.200227261	65	52	13
0.214574337	56	44	12
0.153511524	52	44	8
0.150647163	53	45	8
0.053191185	85	80	5
0.23242712	114	86	26
0.256477833	117	87	30
0.148336411	101	86	15
0.169310093	118	98	20
0.208961487	134	106	28
0.204319954	137	109	28
0.178581715	123	101	22
0.180211067	122	100	22
0.192905903	114	92	22
0.193229675	114	92	22
0.198536396	111	88	22
0.203735352	105	83	21
0.208287716	106	83	22
0.114244461	96	85	11
0.0917825699	98	89	9
0.0926280022	97	88	9
0.0933766365	96	87	9
0.205655098	34	27	7
0.205635071	34	27	7
0.203485489	33	26	6
0.199493885	35	28	7
0.19981432	35	28	7
0.234164715	34	26	8
0.230536461	30	23	7
0.175958157	34	28	6
0.173262596	75	62	13
0.261928082	84	62	22
0.262073994	84	62	22
0.244708061	90	68	22
0.337410927	86	57	29
0.333706379	90	60	30
0.258726597	112	83	29
0.254648209	114	85	29
0.241841316	120	91	29
0.199840069	115	92	23
