frequency	mutation_category
0.0847177505	snp_synonymous
0.0643267632	snp_synonymous
0.0623197556	snp_synonymous
0.0578336716	snp_nonsynonymous
0.0641341209	snp_nonsynonymous
0.0628218651	snp_synonymous
0.106482029	snp_nonsynonymous
0.0696907043	snp_nonsynonymous
0.051112175	snp_synonymous
0.0539660454	snp_nonsynonymous
0.297338486	snp_synonymous
0.0736842155	snp_nonsynonymous
0.05919981	snp_synonymous
0.0612711906	snp_nonsynonymous
0.096517086	snp_synonymous
0.0782113075	snp_nonsynonymous
0.0625863075	snp_synonymous
0.0621891022	snp_synonymous
0.194774628	snp_synonymous
0.0920572281	snp_synonymous
0.111643314	snp_synonymous
0.23596096	snp_nonsynonymous
0.056166172	snp_nonsynonymous
0.0907716751	snp_synonymous
0.0529193878	snp_synonymous
0.0552062988	snp_synonymous
0.0549116135	snp_synonymous
0.0573916435	snp_synonymous
0.0508542061	snp_synonymous
0.05960989	snp_synonymous
0.0673956871	snp_synonymous
0.0602684021	snp_nonsynonymous
0.0596652031	snp_nonsynonymous
0.0601205826	snp_synonymous
0.0626688004	snp_synonymous
0.0611104965	snp_synonymous
0.0522174835	snp_nonsynonymous
0.0740685463	snp_nonsynonymous
0.0690131187	snp_nonsynonymous
0.080104351	snp_nonsynonymous
0.091802597	snp_nonsynonymous
0.0917639732	snp_nonsynonymous
0.0932321548	snp_nonsynonymous
0.0879983902	snp_synonymous
0.101556778	snp_synonymous
0.140741825	snp_nonsynonymous
0.140584946	snp_nonsynonymous
0.137499332	snp_nonsynonymous
0.0968780518	snp_synonymous
0.101337433	snp_nonsynonymous
0.0675301552	snp_synonymous
0.0544753075	snp_synonymous
0.0556716919	snp_nonsynonymous
0.051697731	snp_nonsynonymous
0.0513453484	snp_synonymous
0.0571351051	snp_synonymous
0.060986042	snp_nonsynonymous
0.0653924942	snp_nonsynonymous
0.065518856	snp_nonsynonymous
0.0657601357	snp_nonsynonymous
0.0578112602	snp_nonsynonymous
0.0738697052	snp_nonsynonymous
0.0753278732	snp_synonymous
0.0756120682	snp_nonsynonymous
0.0646181107	snp_synonymous
0.0616288185	snp_nonsynonymous
0.0613980293	snp_nonsynonymous
0.0676212311	snp_synonymous
0.0559587479	snp_nonsynonymous
0.0555315018	snp_nonsynonymous
0.0566754341	snp_synonymous
0.0570716858	snp_synonymous
0.0507745743	snp_synonymous
0.0767207146	snp_synonymous
0.104209423	snp_synonymous
0.104185104	snp_synonymous
0.0989460945	snp_synonymous
0.0716028214	snp_synonymous
0.0686640739	snp_synonymous
0.07305336	snp_nonsynonymous
0.0743021965	snp_synonymous
0.0721764565	snp_synonymous
0.0634493828	snp_synonymous
0.0551347733	snp_synonymous
0.0810427666	snp_nonsynonymous
0.0857877731	snp_nonsynonymous
0.0650444031	snp_synonymous
0.0657663345	snp_nonsynonymous
0.0688843727	snp_nonsynonymous
0.0615625381	snp_nonsynonymous
0.0716362	snp_synonymous
0.0664086342	snp_synonymous
0.0634360313	snp_nonsynonymous
0.0635881424	snp_nonsynonymous
0.0634217262	snp_synonymous
0.0589537621	snp_synonymous
0.0601449013	snp_synonymous
0.0900058746	snp_nonsynonymous
0.0938420296	snp_synonymous
0.0884580612	snp_synonymous
0.0954174995	snp_synonymous
0.0943360329	snp_synonymous
0.0638508797	snp_synonymous
0.0574970245	snp_synonymous
0.0810656548	snp_synonymous
0.072936058	snp_synonymous
0.0681095123	snp_synonymous
0.0675907135	snp_synonymous
0.0893983841	snp_nonsynonymous
0.084549427	snp_synonymous
0.0879974365	snp_nonsynonymous
0.0921111107	snp_synonymous
0.0945167542	snp_nonsynonymous
0.0940880775	snp_nonsynonymous
0.0853228569	snp_synonymous
0.0858278275	snp_synonymous
0.0965952873	snp_nonsynonymous
0.0797481537	snp_synonymous
0.0759935379	snp_synonymous
0.0751395226	snp_synonymous
0.0847115517	snp_synonymous
0.0796790123	snp_nonsynonymous
0.0948581696	snp_synonymous
0.0982670784	snp_synonymous
0.102787018	snp_nonsynonymous
0.0542802811	snp_synonymous
0.0565280914	snp_synonymous
0.0979304314	snp_synonymous
0.0893087387	snp_synonymous
0.08562994	snp_synonymous
0.0830926895	snp_nonsynonymous
0.076898098	snp_synonymous
0.0786981583	snp_synonymous
0.0522761345	snp_synonymous
0.0500144958	snp_synonymous
0.0789647102	snp_nonsynonymous
0.0642514229	snp_nonsynonymous
0.0526618958	snp_nonsynonymous
0.0631399155	snp_nonsynonymous
0.0584549904	snp_nonsynonymous
0.0709676743	snp_nonsynonymous
0.0840973854	snp_nonsynonymous
0.0554919243	snp_synonymous
0.057820797	snp_synonymous
0.0513219833	snp_nonsynonymous
0.122244835	snp_nonsynonymous
0.0862817764	snp_nonsynonymous
