freq	total_cov	major_cov	minor_cov
0.0827145576	84	77	7
0.0768966675	118	105	13
0.0745954514	133	123	10
0.0507349968	130	123	7
0.0540642738	146	138	8
0.0541615486	146	138	8
0.136888027	131	113	18
0.0625834465	158	148	10
0.0912361145	109	99	10
0.113317966	146	129	17
0.0935525894	148	134	14
0.0518898964	114	108	6
0.0708293915	134	124	10
0.0503311157	157	149	8
0.0510025024	155	146	8
0.0853319168	105	93	11
0.0540494919	202	190	11
0.0669579506	96	89	7
0.0833539963	113	103	10
0.0543603897	109	103	6
0.0890026093	67	61	6
0.0903778076	218	192	25
0.0707540512	148	137	11
0.0556607246	213	201	12
0.073849678	162	148	14
0.0586438179	175	164	11
0.0687499046	137	127	10
0.0798339844	87	79	7
0.0542159081	155	146	9
0.0595426559	133	125	8
0.0514454842	142	134	7
0.0591506958	185	170	11
0.100860596	138	124	14
0.106327057	131	117	14
0.230459213	65	49	16
0.0661616325	140	130	10
0.0650067329	112	104	8
0.0960679054	60	54	6
0.0861024857	104	95	9
0.0559592247	106	100	6
0.11980772	91	79	11
0.059071064	148	138	9
0.0676441193	117	109	8
0.110846519	89	79	10
0.08076334	118	108	10
0.229586124	99	67	22
0.0727000237	150	139	11
0.0647449493	107	100	7
0.0553636551	125	118	7
0.0560827255	141	133	8
0.0587115288	149	138	11
0.0665435791	134	125	9
0.078810215	158	145	13
0.0702009201	127	118	9
0.140856743	92	79	13
0.0813317299	122	112	10
0.0651698112	76	71	5
0.0962443352	144	130	14
0.0738120079	101	93	8
0.0533485413	127	119	8
0.0777888298	102	94	8
0.0714249611	111	103	8
0.0707755089	252	234	18
0.099342823	110	99	11
0.0737309456	128	118	10
0.0622644424	205	192	13
0.0613026619	112	103	7
0.0633568764	125	117	8
0.0651984215	152	142	10
0.0777816772	126	116	10
0.0674118996	177	165	12
0.0661888123	143	132	10
0.0683627129	189	175	13
0.0508823395	194	184	10
0.0761098862	137	126	11
0.0503220558	157	149	8
0.0673232079	103	96	7
0.0760178566	170	156	13
0.0639100075	100	92	8
0.105110168	104	93	11
0.273789406	76	55	21
0.0805449486	123	113	10
0.128680706	90	74	13
0.131651402	132	111	20
0.0781540871	76	70	6
0.0692706108	100	93	7
0.0599732399	198	186	12
0.072707653	123	113	9
0.0753645897	158	146	12
0.119474411	100	88	12
0.055706501	142	134	8
0.102653503	174	156	18
0.0569996834	128	117	8
0.057946682	135	127	8
0.0666069984	104	96	7
0.081009388	145	132	12
0.0692391396	136	126	10
0.0967364311	103	93	10
0.0586686134	202	190	12
0.0677170753	161	150	11
0.0590214729	134	126	8
0.074157238	107	99	8
0.0682487488	116	108	8
0.0721063614	110	102	8
0.144365311	98	82	16
0.0688557625	108	100	8
0.0779652596	140	129	11
0.0721545219	110	102	8
0.0763463974	123	111	9
0.0687055588	138	128	10
0.0504627228	176	167	9
0.0708527565	98	91	7
0.0867962837	98	89	9
0.0581870079	85	80	5
0.126996517	94	82	12
0.0530991554	186	176	10
0.0510754585	132	125	7
0.0617046356	120	112	8
0.0578055382	154	145	9
0.0847992897	117	107	10
0.0696988106	128	119	9
0.0574479103	155	146	9
0.0660243034	150	139	11
0.173839569	90	72	17
0.087685585	77	70	7
0.0883603096	101	92	9
0.0689706802	145	134	10
0.0863494873	115	105	10
0.0564861298	113	106	7
0.274237156	116	82	34
0.128526211	121	103	18
0.0776276588	115	106	9
0.0674276352	147	137	10
0.115899086	103	91	12
0.0661220551	105	97	7
0.0601582527	99	92	6
0.0562820435	132	123	8
0.0520710945	160	150	9
0.0718488693	138	128	10
0.0679755211	131	122	9
0.0732383728	176	163	13
0.0832767487	153	140	13
0.0630121231	127	118	9
0.0510187149	116	110	6
0.0755548477	105	97	8
0.086025238	145	132	13
0.0581259727	142	133	9
0.0810208321	130	118	11
0.070687294	98	91	7
0.0513005257	116	109	6
0.110546112	108	96	12
0.0717964172	138	128	10
0.0964212418	140	126	14
0.0679922104	102	95	7
0.0798740387	118	108	10
0.0909562111	119	108	11
0.0692658424	143	133	10
0.0549116135	170	160	10
0.330244064	81	46	21
0.242285252	68	49	16
0.371304989	57	30	20
0.100574493	168	151	17
0.0853800774	70	64	6
0.0607295036	179	168	11
0.0825858116	125	114	11
0.0603275299	82	77	5
0.0544247627	135	127	8
0.0639410019	139	130	9
0.0611548424	97	91	6
0.080145359	74	68	6
0.0552539825	143	135	8
0.0889959335	197	178	18
0.0764045715	123	113	10
0.0565214157	114	106	7
0.0671601295	149	138	11
0.0818939209	144	132	12
0.240094185	84	60	21
0.245605946	72	53	19
0.0530819893	149	141	8
0.0887351036	107	97	10
0.0545067787	163	154	9
0.0692696571	186	173	13
0.0575914383	120	113	7
0.0606241226	123	115	8
0.061621666	111	102	7
0.0704464912	68	62	6
0.0587091446	81	75	6
0.0928406715	85	75	10
0.0569047928	102	94	8
0.0604519844	131	123	8
0.0875597	68	62	6
0.0682525635	116	108	8
0.171181679	79	62	14
0.051776886	191	181	10
0.0695767403	114	106	8
0.066423893	132	122	10
0.0528240204	139	131	8
0.0569491386	191	180	11
0.0636739731	125	116	9
0.0763802528	141	126	15
0.068810463	144	133	11
0.0690073967	113	105	8
0.0522756577	151	142	8
0.0574884415	154	144	10
0.0833477974	118	107	10
0.0607581139	131	121	8
0.125627995	134	117	17
0.0729036331	136	126	10
0.0952568054	162	136	18
0.0599555969	165	155	10
0.0542016029	151	142	9
0.0671730042	141	131	10
0.068883419	144	134	10
0.10809803	79	70	9
0.0539813042	128	121	7
0.0592889786	150	141	9
0.059129715	184	173	11
0.0595068932	133	125	8
0.0708456039	124	115	9
0.0582542419	151	142	9
0.0770101547	116	107	9
0.0783448219	121	110	10
0.0671043396	197	183	14
0.0849852562	70	64	6
0.0666098595	104	97	7
0.0834536552	131	120	11
0.0576486588	145	136	9
0.0500321388	197	187	10
0.0641951561	154	143	10
0.0942230225	158	143	15
0.0685791969	130	121	9
0.057079792	173	163	10
0.0827035904	84	77	7
0.181680202	95	76	18
0.0715155602	97	90	7
0.0962834358	134	121	13
0.0554075241	107	101	6
0.126616478	118	103	15
0.0573921204	172	162	10
0.0601944923	115	108	7
0.0679531097	103	95	8
0.0591378212	148	139	9
0.0764112473	129	119	10
0.0558161736	123	115	7
0.073884964	67	62	5
0.0728635788	136	126	10
0.0608706474	164	153	10
0.0517015457	172	163	9
0.0645618439	92	86	6
0.0756559372	131	121	10
0.0553126335	151	142	9
0.0891747475	160	143	17
0.0644130707	123	115	8
0.0656495094	158	147	11
0.0793843269	100	91	8
0.125468731	79	69	10
0.0501661301	138	130	7
0.111222267	136	114	18
0.0740699768	107	99	8
0.0802779198	173	159	14
0.06027174	139	130	9
0.122956276	81	71	10
0.054394722	109	103	6
0.0588831902	99	93	6
0.0668921471	163	152	11
0.0771479607	90	83	7
0.0886387825	96	87	9
0.0567650795	169	157	11
0.136812687	171	136	25
0.0675253868	188	173	14
0.0711112022	189	170	15
0.0609726906	145	135	10
0.0549411774	144	136	8
0.0618376732	176	165	11
0.0848479271	117	107	10
0.0855259895	111	101	10
0.107652187	120	107	13
0.0653367043	88	82	6
0.183570862	101	79	20
0.0732440948	141	130	11
0.066037178	135	125	9
0.0719118118	139	128	11
0.073433876	135	125	10
0.0636291504	171	160	11
0.0725021362	130	120	10
0.337974072	47	31	16
