freq	total_cov	major_cov	minor_cov
0.134250164	91	72	11
0.0590519905	84	77	6
0.168379784	82	68	14
0.135587692	96	83	13
0.0628619194	273	254	17
0.0618491173	274	256	17
0.0603775978	276	259	17
0.221741676	56	43	13
0.526019573	49	25	24
0.181245804	81	65	16
0.212405682	83	63	20
0.148310661	87	72	15
0.212260723	29	18	6
0.147902489	121	101	20
0.406119347	29	17	12
0.274158955	101	66	27
0.139861107	90	77	13
0.199782372	80	62	18
0.212171555	73	56	16
0.121901989	129	109	20
0.0519924164	132	124	7
0.0608739853	77	72	5
0.0895533562	60	53	7
0.227953911	47	36	11
0.163609505	62	50	11
0.222405434	47	36	11
0.307657242	41	27	13
0.132021904	144	122	22
0.115499973	118	101	17
0.157365799	157	127	30
0.105597973	153	135	17
0.148602486	111	88	16
0.135198593	111	85	14
0.088701725	187	165	22
0.127517223	84	72	12
0.0513758659	87	82	5
