freq	total_cov	major_cov	minor_cov
0.4407444	93	52	41
0.441039562	93	52	41
0.140387535	124	98	22
0.0776753426	84	77	7
0.206738472	113	88	25
0.130989075	58	50	8
0.246529579	71	52	19
0.133730412	84	70	13
0.208448887	32	22	7
0.289647579	32	22	8
0.0938615799	148	128	14
0.136786938	95	78	16
0.156144619	86	71	14
0.191991806	86	68	18
0.149365902	83	68	13
0.0725231171	94	87	7
0.271296501	108	74	33
0.162381649	83	67	15
0.111468792	81	71	9
0.0867209435	91	82	8
0.0936870575	131	114	17
0.137118816	87	72	12
0.184595585	95	72	19
0.163496971	142	116	24
0.0513205528	133	125	7
0.110571861	64	56	7
0.137537956	151	127	20
0.0965385437	58	52	6
0.0591874123	101	95	6
0.117929935	109	96	13
0.17478323	110	87	19
0.0591673851	101	95	6
0.0709133148	85	78	7
0.109167099	109	94	14
0.269707203	48	34	14
0.130588531	85	72	13
0.0673017502	74	69	5
0.100090027	56	50	6
0.054350853	92	86	5
0.107120514	85	75	10
0.133684158	79	67	12
0.0859589577	79	70	9
0.292893887	134	91	43
0.102314472	132	115	13
0.0801024437	159	144	15
0.0636529922	125	117	8
0.0517930984	96	91	5
0.13724041	43	37	6
0.332162857	59	23	17
0.128767967	124	108	16
0.135921955	125	108	17
0.237970352	174	132	41
0.25332737	174	130	44
0.102547169	62	51	6
0.228087902	42	32	10
0.328773499	60	36	19
0.170461178	104	85	19
0.0942239761	109	96	12
0.202591896	55	42	11
0.100469112	89	79	9
0.0694503784	100	92	7
0.0966296196	71	64	7
0.13605547	118	101	16
0.157218456	172	130	30
0.0777645111	237	215	22
0.0697960854	171	157	14
0.0533809662	174	161	13
0.13038969	140	115	16
0.34275198	48	30	18
0.159122467	139	110	28
