entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Rinke_et_al,087ece06e757b24910222be308e07b36a9992cd68ca95f68eed5b910,953,Ribosomal_L16,PF00252.15,1.9e-49
1,Rinke_et_al,0bb2f24bb3991ac2636e1448efab85fd4d442d15dbaca7792e40575c,2920,RNase_HII,PF01351.15,4.5e-28
2,Rinke_et_al,2cbd727e3b3bb2fa7e974f57deb845aeac8ca52d63a61589f4178458,983,RNA_pol_Rpb1_4,PF05000.14,2.8e-11
3,Rinke_et_al,456b16db1d1d33c9c4c0dc7f112c3702bd2bea68e0aba44aa109d300,983,RNA_pol_Rpb1_3,PF04983.15,1.6e-20
4,Rinke_et_al,6591435e6e7d5d9546417fbefb2e23b66c324faa59abfdef744a0bd2,234,Adenylsucc_synt,PF00709.18,1.5e-176
5,Rinke_et_al,17551aa8bbef8d551ad18acedc9b9d9678f3e273ac6338b73657dea7,1624,EFG_C,PF00679.21,4.4e-26
6,Rinke_et_al,e41dde601a965a3d209e209f8abe14c0022cb0548ac63e0f7e4b8739,983,RNA_pol_Rpb1_2,PF00623.17,2.7e-41
7,Rinke_et_al,4493117743cea053fb81786c8babbf30e4c87a6238d1f7148503ab4f,431,RtcB,PF01139.14,6.9e-123
8,Rinke_et_al,9f064b92ab788853fb7fa9ebfef72049a4e2ff6c8c92b34b98da2bf7,2907,DUF46,PF01864.14,7.4e-07
9,Rinke_et_al,70cd90183500ba9d0d5820d33dff838d5335c1264a4b6e173b62a43a,983,RNA_pol_Rpb1_1,PF04997.9,1.5e-82
10,Rinke_et_al,1a40329420aaed1880b914d3976d2c359f5e50e429b14db454376b4e,935,Ribosomal_S11,PF00411.16,4.2e-49
11,Rinke_et_al,4ee76189dc9ad42e6837419c4d26ac1207c4e5ce0bcf1f433792e9b4,99,MoaC,PF01967.18,2.3e-54
12,Rinke_et_al,1e26cce77d5a553e30ca48f41aa035ba039e988483ac2735879c4472,2225,EFG_C,PF00679.21,5.7e-24
