entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Campbell_et_al,ced863effda837e4e6dc1f9ba72e82d873090a803134d215d63bde33,1752,Ribosomal_L28,PF00830.14,7.5e-22
1,Campbell_et_al,948d806257a344b87ee347c5d6285cdd565411bfe462c3f397c1d85a,4634,RNA_pol_Rpb2_2,PF04561.9,7.7e-28
2,Campbell_et_al,edb804c5bb4299ebdfffa936f137531c465e14c3ac5959701dbb9588,5498,Ribosomal_S18,PF01084.15,5.5e-24
3,Campbell_et_al,bc8069f2a4446719ae3eb145d90a9044986d1554fd0ac1c906d35dbd,4481,Ribosomal_S11,PF00411.14,1.7e-50
4,Campbell_et_al,d0d9ef27faa0230c713afea9d02d12d6ea6d4c73f6bf2be047d53588,4382,THF_DHG_CYH_C,PF02882.14,1.4e-61
5,Campbell_et_al,b37818985306a348668e4d06bca78b7650e5f1232040e61c01edac61,4492,Ribosomal_L6,PF00347.18,3.6e-44
6,Campbell_et_al,82ab5be8cb40d1defe3874b49ce6717f8d32866589274b41d372c04f,1969,Val_tRNA-synt_C,PF10458.4,2.4e-18
7,Campbell_et_al,505771bc780ad3b736b2cc0ec6eb40d59e04272b1b601b6d6c4948dd,21,FDX-ACB,PF03147.9,3.8e-27
8,Campbell_et_al,85c09c839e1bfe8660da2098c4fd3e46f5c2d76613ac62d17bf317b0,4815,SmpB,PF01668.13,2.7e-32
9,Campbell_et_al,4c9c044f1a6603d23e2007f9f79b4330da5894e790b451cbfddc4270,4634,RNA_pol_Rpb2_7,PF04560.15,9.5e-33
10,Campbell_et_al,277adb6f50b855a6bc1ee1883e8ed67f55f99ce36b455f27f15f002d,6082,RecR,PF02132.10,5.9e-15
11,Campbell_et_al,fb03b5dc82cbf554cc6711107b49a736666190963abe0dd9c146589c,6139,TRCF,PF03461.10,5.3e-24
12,Campbell_et_al,772068cee866706e97d7ddeaaaa50a8c9e0eb48f16229d621b1cea11,1893,UPF0054,PF02130.12,3.4e-40
