entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Campbell_et_al,302d89cbd0c42ac60ee432d5c91e53e0fed5fc123bc24f2e260e1d53,2159,Ribosomal_L18p,PF00861.17,1.4e-38
1,Campbell_et_al,53b157de10d2184d619a65a947cf6592cdac169ef6fcc143c76d7aa1,2455,LepA_C,PF06421.7,2.8e-54
2,Campbell_et_al,0fdc3c6b0c33333d8ff119310532aaf512e7b3b45569f8eb1067e033,2158,Ribosomal_S5_C,PF03719.10,1.0e-34
3,Campbell_et_al,aece45c109a069e512b0f2dea8811fb8be426b766390da37e6a4490d,1809,DNA_pol3_beta_3,PF02768.10,2.9e-45
4,Campbell_et_al,0e385a0df44d0c37facc69dfcff9260e7abfc5d7668d99919ec388c6,2187,Ribosomal_L11,PF00298.14,9.7e-30
5,Campbell_et_al,31450d725e9a16af2b7c5aa1fdb06ee497517095312c6902233bfe05,2179,Ribosomal_S7,PF00177.16,1.2e-65
6,Campbell_et_al,d0839fbdc37e23fc28e017a50f6578c423346a428413fedd1a52d9b0,1603,PseudoU_synth_1,PF01416.15,1.2e-33
7,Campbell_et_al,1371e64cd3085019dfc79db6d568a26ffbfca7471ab4752b7318cd7b,2158,Ribosomal_S5,PF00333.15,1.6e-29
8,Campbell_et_al,226ead4c7eb5afda85f0563cbe998054be27f05a31586e96c075f5af,3150,CoaE,PF01121.15,2.6e-70
9,Campbell_et_al,04287eb363b31c43c293dbd36a8a3d1ed2424062bf0798cc9a7098a6,2150,Ribosomal_L17,PF01196.14,2.2e-37
10,Campbell_et_al,26050cb8ad764e6eaf922063ae74b497b24550043a24cc7cc889fa9a,2180,Ribosom_S12_S23,PF00164.20,3.3e-56
11,Campbell_et_al,45b191bb890d2dd95ffe4f97559fc0c9957a6aa11d7dfa67a342204e,1647,B5,PF03484.10,8.2e-23
12,Campbell_et_al,880741b446c7e4a539fa94448974c543de11cfe9835a69a8e406e5bc,2520,THF_DHG_CYH_C,PF02882.14,2.2e-68
13,Campbell_et_al,4e927c76da3eec57a1ca1566724a5a503d19ea811d8f9343e0b29f08,457,Ribosomal_S15,PF00312.17,4.0e-31
14,Campbell_et_al,0f8bc2e748e14989f90d0a056b073dc365138197d49a0fe9008cc457,1407,Ribosomal_S2,PF00318.15,3.6e-86
15,Campbell_et_al,d0280d09fb6118abb3724c535f83bc1305b79da8093892939c34536c,1803,GidB,PF02527.10,6.6e-63
16,Campbell_et_al,2f9e067d24e0f6319389ccffd7172679dedff7571b7cbab4fbfc22a6,4157,S-AdoMet_synt_M,PF02772.11,1.8e-49
17,Campbell_et_al,5921a9378f14ce62f9e0994c25461875cadb05d88dbb8e9e96c59e8f,5340,eIF-1a,PF01176.14,5.8e-30
18,Campbell_et_al,8557fe0b98d0d9b9ae556fcef1276586abf74105dc1457c4a18ca7bb,2174,Ribosomal_L4,PF00573.17,8.4e-66
19,Campbell_et_al,556f8ed520a5213eddb76c1b57eeb5a7d4f24eeb598cadad58d94049,182,Ribosomal_S9,PF00380.14,1.7e-49
20,Campbell_et_al,c9b4892bc45a96d1f33fd9d2bf64daf06d56a43208b8af2ef17c56a2,170,Methyltransf_5,PF01795.14,1.4e-48
21,Campbell_et_al,e2d10a797b9d94c46f6540d25cfbd716a18c21174758f101fa9de2c7,2186,Ribosomal_L1,PF00687.16,1.3e-48
22,Campbell_et_al,e9eb7de11da5ae68a15a8c6adb1f76ee0273fc1edce3107a3516cafa,169,Methyltransf_5,PF01795.14,2.1e-55
23,Campbell_et_al,25eb68124c50a97f4c5bb0fbb37d77649d34c438e612df378485c890,4238,MurB_C,PF02873.11,2.3e-28
24,Campbell_et_al,882ae7a5a1784cca0b7ffff03acb82f26940642c5f084801aff7d80b,2155,SecY,PF00344.15,2.5e-115
25,Campbell_et_al,32e9b76a1a0210b85b908617cb923083ba6eaa363a4b32663433939f,2428,tRNA_m1G_MT,PF01746.16,3.0e-57
26,Campbell_et_al,cb4049e551752c71f70598fa7d3fcf12a1c2e400ac0b22bb6ab94906,2184,Ribosomal_L12,PF00542.14,1.1e-30
27,Campbell_et_al,911a2c856f5cb558376825b61d26afc679053e7a191c507a67528944,2176,Ribosomal_S10,PF00338.17,5.8e-42
28,Campbell_et_al,991f4b4bc0ef4bb6cf93c9cbc95c7711a93aeaa612857481dc646476,1410,RRF,PF01765.14,2.1e-61
29,Campbell_et_al,1c517288c872cb95d32996b89566481ea8c8bbe93007cbe42099c78b,2171,Ribosomal_S19,PF00203.16,2.1e-39
30,Campbell_et_al,56297a90d937e22410159e5291cd44fab5e54c19bcede8b5b30d7229,2453,dsrm,PF00035.20,1.4e-10
31,Campbell_et_al,9c7bac7cff8c132ab363bb9e755ad392cb88fce3fbada11d386d9a17,2151,RNA_pol_A_CTD,PF03118.10,6.9e-28
32,Campbell_et_al,7c524437e407248410cdb7b4eceaf3256e2d7904dd2152153dd0263a,3648,Oligomerisation,PF02410.10,4.4e-35
33,Campbell_et_al,def31243b9e89369e51f4729de54d6a59b5158425c54aad63d8c0d80,1408,UBA,PF00627.26,2.3e-10
34,Campbell_et_al,889c8c9a8e223c88f80c93294b925b88809bccb02c1596b235402e06,2172,Ribosomal_L2_C,PF03947.13,1.8e-58
35,Campbell_et_al,a1df74f37aeb54801828000bee2e4d83175a7effe9ab1ed70c1b1105,2169,Ribosomal_S3_C,PF00189.15,3.8e-38
36,Campbell_et_al,53943065e818e7626147e55bc36203dbe98eb3ccfed6ef7869f7c054,5172,RuvA_C,PF07499.8,2.4e-18
37,Campbell_et_al,e484fdbb6c957a3dbcfb9708bc328cb83fbe31ffdd5ab78bc13e9106,478,GrpE,PF01025.14,2.2e-54
38,Campbell_et_al,75867167fdb4f149e5c09f89878e033c17878945e90312475d281081,2461,Val_tRNA-synt_C,PF10458.4,1.4e-21
39,Campbell_et_al,9eff344d094d99b2834ca65f885800e7789d2d433779b0dd09625fa0,2181,RNA_pol_Rpb1_3,PF04983.13,5.6e-33
40,Campbell_et_al,6869b0807886fd51aa2437c96f2c4b0b959279cd645d06785123eef6,5172,RuvA_N,PF01330.16,8.5e-24
41,Campbell_et_al,bcc926c79bfdea945826269e1b08d871925d6a3a1b193073e3f9044e,4157,S-AdoMet_synt_C,PF02773.11,8.3e-71
42,Campbell_et_al,4189ebc2be50a3c8df7f020b37c19cb4baff26375c5caefbce94a526,2421,Seryl_tRNA_N,PF02403.17,3.1e-32
43,Campbell_et_al,8acf12f0f049ff836d5a6304022f13420231408599aedc1b9b61efaa,2168,Ribosomal_L16,PF00252.13,6.3e-51
44,Campbell_et_al,eb9703ad7ffbc81906156e37b3ec4f2a4836c56a83f2ddf61b0b8e84,1646,Phe_tRNA-synt_N,PF02912.13,5.3e-31
45,Campbell_et_al,6210ed8e3fa542129de79251e32a2f04da740693bcd2283475643894,1328,Ribosomal_L21p,PF00829.16,3.5e-41
46,Campbell_et_al,77d8290d3d57ab5048dc39f2d62f17742fd0d77d81aa18cb12de652e,2183,RNA_pol_Rpb2_3,PF04565.11,4.3e-32
47,Campbell_et_al,426391104d791492219bb049d3cee4b61fae7abd7fc59a42a601a7ce,4245,Competence,PF03772.11,9.4e-57
48,Campbell_et_al,8f81bee72897d3c970d5a0718a92cdc2a99c49be9fdfbb1d4cef3065,1483,tRNA-synt_1d,PF00750.14,4.6e-106
49,Campbell_et_al,3951f0b8a42907561cc608d89e4202a44ccfc292afb8873a022ddaec,2152,Ribosomal_S4,PF00163.14,7.7e-25
50,Campbell_et_al,f00310f49b0a47330b0cae8a7a03c5e12c2251a66976e64edec0f1da,2163,Ribosomal_L5,PF00281.14,7.2e-24
51,Campbell_et_al,5221efe47c6e79ff26b36b91f9e00c9b32db4f9872ca082e00e54c14,2160,Ribosomal_L6,PF00347.18,3.2e-43
52,Campbell_et_al,bbaeb6c26d62f8c63983c33f30f21cf0391468943bd3ca67020885c3,1319,Peptidase_A8,PF01252.13,1.4e-47
