entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Ribosomal_RNAs,5ce3ff8f6ad12184bc23cb2d9ac56b755220ca23cc75afcdeb8b0b59,4201,Bacterial_23S_rRNA,-,3.5e-288
1,Ribosomal_RNAs,68555f084dfcfe4586b0d13b53bf17b8781e6f00c49215605a0b79ed,4202,Bacterial_16S_rRNA,RF00177,0
2,Ribosomal_RNAs,3664e1c2c12d035343636e3c1e92ffa73a3d7c84340146eaef69ffd7,4203,Bacterial_23S_rRNA,-,0
3,Rinke_et_al,16c54d584b6217f1a45dcd4909f99454ff93d93ec928593060cb4ba2,80,Ribosomal_S5_C,PF03719.12,6.4e-32
4,Rinke_et_al,03aa6c235b720e751281aac52c591b1c4712a9672067edb491051a0c,3723,EFG_C,PF00679.21,1.3e-33
5,Rinke_et_al,bd3ec33ee9f7b9866933167010c69065c6b366896a0970da759edab4,2398,Rib_5-P_isom_A,PF06026.11,3.1e-59
6,Rinke_et_al,a319bc9816453b8b0ce14db2b31c4d2818201458f1bae05ac6071bbc,931,PyrI,PF01948.15,6.7e-32
7,Rinke_et_al,08c1c3af9ca710b0b40f9eb6144896518f42dbc4f60a25bac429e0a4,97,Ribosomal_L3,PF00297.19,1.2e-14
8,Rinke_et_al,ab22e4c6c1e7e10c67612d3dd9253d673081fb11d5f8e33dcc6debe2,2558,RNA_pol_Rpb1_3,PF04983.15,1.8e-29
9,Rinke_et_al,931b01ac493a7846bea254645800ce2de5d32aa20b6dcbb9a434fcdb,1954,SNO,PF01174.16,1.2e-09
10,Rinke_et_al,b7424fc737f97986e1fff637ed0dad6f36adcf3e4363893591f01da9,4033,GAD,PF02938.11,4.3e-33
11,Rinke_et_al,af28192615a433518b302fab75bb50d8a712b73b53a71a7ae84c2663,77,SecY,PF00344.17,7.2e-122
12,Rinke_et_al,f35ce9517d3dc1769c599ef9e7998c2a5dd861d5b5062e8cb4d76257,1450,IF-2,PF11987.5,4.5e-39
13,Rinke_et_al,ee3b865acf1ac86ec0e0f40d51cebe52f5bfe23e84d265e00ab95d90,94,Ribosomal_L2_C,PF03947.15,1.6e-57
14,Rinke_et_al,dead384e6c4871e6315077d8191a66bda85dd53fe41e21ae054dc896,2946,NDK,PF00334.16,5.4e-58
15,Rinke_et_al,8a7c11d402ea6c566a9b3ed45baa059e766bb635b5b12cb14ddfefbf,75,Ribosomal_S13,PF00416.19,1.2e-36
16,Rinke_et_al,c76b54154bc3146cf59dfd2e4bd620fd6004e183ae0f59a0932d2012,3491,DNA_binding_1,PF01035.17,1.8e-28
17,Rinke_et_al,f53f5e1c3e6d954bee37cb0ef941482f8ff49bd1393c059d5ce52495,84,Ribosomal_S14,PF00253.18,9.7e-29
18,Rinke_et_al,8290b87b59d581efc55a05cf0527398c6199043ff3f8d5cae0df1df3,16,SRP_SPB,PF02978.16,1.3e-34
19,Rinke_et_al,7a0f6d3bff26bf7a3672497e63f8529bcde4bdc80d6debd1e3be435d,913,EFG_C,PF00679.21,1.1e-23
20,Rinke_et_al,5d3d4198b5da9377a6cc5ba5b804934f04f40a6eaa7d71c080763a52,862,Ham1p_like,PF01725.13,1.0e-58
21,Rinke_et_al,928ed8609e01e1dd2006d1bf37661bfe808ea656b66d0aef6474cbc5,87,Ribosomal_L14,PF00238.16,7.1e-57
22,Rinke_et_al,6aba8073b97d19eef3bf77f4e4d56c2569272afc00d341246b8e3ebf,80,Ribosomal_S5,PF00333.17,9.0e-31
23,Rinke_et_al,f5fa3ebc8e5e0a8156c9872779980fd3eaaac8d5a374c1b50f3d7681,96,Ribosomal_L4,PF00573.19,3.6e-66
24,Rinke_et_al,6805343b073bae18aa186a0bb7edb46bf5a4c185f0077c132e154a37,2505,Ribosomal_S2,PF00318.17,2.6e-96
25,Rinke_et_al,5b74a144a302b094e764d32e3ec6667730dbce77e9aa819ed71a75f1,2554,Ribosomal_L10,PF00466.17,7.6e-28
