entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Campbell_et_al,92b7e9f8b99fae6fb22b9845501326b3a2cc28469d1ce9cc45bcf185,5263,Ribosomal_L27,PF01016.14,2.7e-39
1,Campbell_et_al,84928cb661c3a69e86ac0ddcb7fda92d1ff81aa4068a6751a0346731,5307,CoaE,PF01121.15,2.5e-71
2,Campbell_et_al,d66f063018583f880f946ca91a286a42457b2d175dcb5fed1bdfb4f8,2213,UPF0081,PF03652.10,2.1e-44
3,Campbell_et_al,8896aecb9d732e904c7635764a82805de6c63d393215f118f7881247,642,Ribosomal_L28,PF00830.14,1.9e-33
4,Campbell_et_al,df89a87cf14954d7c2483fb658c368d5f1fd3eb42f5706c26efd41b9,2022,Arg_tRNA_synt_N,PF03485.11,6.2e-27
5,Campbell_et_al,bf3f5b2cd09314477ff795d1eab8b8c8d0eec9c5eb55943bf777e880,4201,Ribosomal_S11,PF00411.14,8.7e-49
6,Campbell_et_al,7c59fc1d3c4ecf6317f68459ab4b30201277c224a792c3806ea1f579,3641,RBFA,PF02033.13,3.1e-37
7,Campbell_et_al,cb0063fcaa7064abfce8fe3cc747657a7e8f2accbdef62b94bf209a6,2260,PGK,PF00162.14,1.9e-141
8,Campbell_et_al,e57f5bff357fb3142ae5e0b6e6282240c7e60da3297fb18fe511f809,4203,RNA_pol_A_bac,PF01000.21,1.9e-28
9,Campbell_et_al,ce679bd4b5b0f836b2e8e73522ceea4f244403d1810d0836037decc1,4378,Val_tRNA-synt_C,PF10458.4,9.6e-22
10,Campbell_et_al,c64fc9dce3f242f912206fd59e5430b33327325a0ec25a3d3f1443ab,829,Ribonuclease_P,PF00825.13,2.8e-31
11,Campbell_et_al,514282b310aae479cfeb2c3a3cda58501e50b8e12bd707cd169c1e34,1893,IPPT,PF01715.12,6.1e-102
12,Campbell_et_al,74b9fd8f8eaaead3b12324b01ea4c3b7e3475289775be02da71023ee,1896,UPF0079,PF02367.12,8.5e-39
