entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Rinke_et_al,4836b68b3a7ef8a6bfc27b1ed6260a80dccb148e39b1d7879aa5799b,1765,tRNA-synt_1c,PF00749.18,5.6e-81
1,Rinke_et_al,6dbfa5d061af5fb38f81703bffafbfd9408c1a5fe55149da959f5db5,1727,Ham1p_like,PF01725.13,1.1e-52
2,Rinke_et_al,413d8658eab355d33a1224298f492a999daac6fabcdee954cbb12464,1447,Ribosomal_L4,PF00573.19,1.3e-63
3,Rinke_et_al,a1b1367305ef720ed152d8208f7a30d9653f661fd740541d4853a0b5,1949,TruB_N,PF01509.15,1.2e-50
4,Rinke_et_al,585c8ccdf52836664af4d54d4cd3f63d5ae8cf7d35d1e7c6029d8843,365,GAD,PF02938.11,2.2e-18
5,Rinke_et_al,98dc44d5a2eca122ce8982a84245c649cada5986eb0b2ca4a15a44f1,1955,Ribosomal_S15,PF00312.19,3.2e-40
6,Rinke_et_al,8c3e8d372cea3895f27ff867392b00384f2e00b5f7fbe781b882b9aa,1458,Ribosomal_L10,PF00466.17,2.6e-28
7,Rinke_et_al,20c2890d5b8907b9d486c86dcd93965ecbd61090b74d671b8066c8ab,714,CTP_synth_N,PF06418.11,3.9e-119
8,Rinke_et_al,31a9c1d84b991e6a07fe67e920dd7b7c448ce480438680e05a53e24d,1974,UPF0004,PF00919.17,2.5e-30
9,Rinke_et_al,e698be62fb7481fba88af8db86a6c705266fb8740af1231a48dd4496,1423,Ribosomal_S11,PF00411.16,5.9e-49
10,Rinke_et_al,3d0f7e6bd9fbceb8150996c71766508078dd8607849e3744773f1a99,609,DHO_dh,PF01180.18,4.3e-07
11,Rinke_et_al,8d130e6b69dc5a01bf39221c0862f2f23382051494a7bc718c8eab6f,1817,SRP_SPB,PF02978.16,4.6e-33
12,Rinke_et_al,0852ab145e72c207693eab3c171c9179be701fa8f76716527d80b712,1703,ATP-synt_C,PF00137.18,8.2e-15
