entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Campbell_et_al,425cc8a2487d0cc7731afdab8414caa7450454deb1196434b734814e,2649,Ribosomal_L6,PF00347.18,1.1e-42
1,Campbell_et_al,b921bda42db49d982ceb6893cf56503d0aa43157a8ad3c73efc09289,1495,IF2_N,PF04760.10,1.3e-11
2,Campbell_et_al,2242d6e56a2204184e865e7020e2da05c8518ed437de35cde7714317,769,zf-C4_ClpX,PF06689.8,7.4e-24
3,Campbell_et_al,ef6cd814f0f237ff34d7f68e7713ecd429de712995a6c0f1f1f3c2f3,2679,Ribosomal_L10,PF00466.15,3.1e-25
4,Campbell_et_al,c5baccb6f44b54bc1fe430d9057a6089c8f2272cbfd68b0020e2e59b,1613,GrpE,PF01025.14,1.2e-53
5,Campbell_et_al,17921d8f5a0bc5e1b179b7be24db2efd67bf2d195b1143e42aefe138,850,UBA,PF00627.26,2.2e-11
6,Campbell_et_al,59f5be87558c4b0e20a8be8461e1f9d2d569207b7623bf7bd97c2523,2661,Ribosomal_L2_C,PF03947.13,3.3e-59
7,Campbell_et_al,5b3444d0783fd5e188cb57d5a41a9b79460231237080184e1cf8afab,3233,Cons_hypoth95,PF03602.10,1.6e-53
8,Campbell_et_al,f3701573c6bfd387b0736d16a5058359a6505fcb4889bc8d4566932e,1855,SRP_SPB,PF02978.14,4.9e-33
9,Campbell_et_al,19ac7ae79fb5895c386452f1c2395640682380741c6a47b86670a845,2562,Ribosomal_L9_C,PF03948.9,2.2e-25
10,Campbell_et_al,d912979165e42f6fd80acfe08dd64f690c8e597db578b811426b91db,1678,CoaE,PF01121.15,2.4e-42
11,Campbell_et_al,db878a0790e4a3544a3fc273ff1099362f905752a7d8fa29abdc21f4,1092,Ribosomal_L32p,PF01783.18,2.2e-21
12,Campbell_et_al,0bb68231115b0281644e4708bd62dbd8049a84bf4c6de767d0b7d683,3541,RecR,PF02132.10,8.0e-17
13,Campbell_et_al,44329bb41501ae5dd40ba8fe125e1361e2ae50af7e98ef67c006f6ca,2642,Ribosomal_S13,PF00416.17,6.8e-40
14,Campbell_et_al,755fedb3f2d8625527d30fc94eaf2945b220279f5b5704b8b644da30,2640,RNA_pol_L,PF01193.19,2.3e-22
15,Campbell_et_al,4d4a9bbb26edb97ca47ce9b0ea9ed4c63e82b8e3db6d5f855e8d3ddb,2682,Ribosomal_L11_N,PF03946.9,4.9e-33
16,Campbell_et_al,f6c89ed50c0ace9d40a75b91319a1c76e25fc925ef60a5a4c0d45030,5058,Val_tRNA-synt_C,PF10458.4,4.1e-19
17,Campbell_et_al,70429af067fe5cc66f9917960a025af8b1ee40599f47f7d5202949f9,1198,Ribosomal_S20p,PF01649.13,1.7e-24
18,Campbell_et_al,f1a318afbd4254a939bf44460f5ceb5cf22e0b85d17deb3ebae018d7,2677,RNA_pol_Rpb2_2,PF04561.9,4.0e-32
