entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Rinke_et_al,840d1969503949a10515121d7f884b63bc2472ef8a35a7e1943a12e5,2225,tRNA-synt_1c,PF00749.18,2.4e-112
1,Rinke_et_al,3ddcf573b3a75896f8b964148b97d61fe82672a9bf67ca248d545314,4437,Enolase_C,PF00113.19,8.6e-139
2,Rinke_et_al,f72121f86883db7679caaaa49a7acf219d9754bfa13a6e980a14d7db,2142,Ribosomal_S15,PF00312.19,6.2e-38
3,Rinke_et_al,0880b77400b9a91b7594a2af28d718f6e38f525d529efe0fa3e141d0,182,RNA_pol_Rpb1_1,PF04997.9,2.2e-90
4,Rinke_et_al,55a422f5a65fffef7a757cfea28e91504cb30e690df0d10c96b841b9,3306,EFG_IV,PF03764.15,2.4e-43
5,Rinke_et_al,9d605397af7a46c0a4b42f2c0458d0153f9a987d986329655aa8fa14,445,Ribosomal_L22,PF00237.16,9.1e-36
6,Rinke_et_al,45f75b52f6546b042e49f8012860540e5d007d546ac4dd322dc6623e,433,Ribosomal_S5,PF00333.17,2.6e-29
7,Rinke_et_al,871342b83563efeb3dd50f35536144051b44ba04f5c0e0f0d8809391,181,RNA_pol_Rpb2_6,PF00562.25,1.6e-164
8,Rinke_et_al,d817b6f9f68701a79851ea25c46bdb85e7bfae8cde0db1eed38fa435,2696,DALR_1,PF05746.12,2.9e-34
9,Rinke_et_al,acba26a749ae5a79096994fa2914b81d0162a77ce8e7296f325c1800,2523,DHO_dh,PF01180.18,5.8e-28
10,Rinke_et_al,994bcb59a6079e99da7e99dc22062af6293cd1a8ca3446528aed8e29,181,RNA_pol_Rpb2_7,PF04560.17,2.0e-29
11,Rinke_et_al,3c2ce6a2e97edf2a5b696e27d5d47687979ab1b29d4162b8642f78cc,4089,tRNA-synt_1c,PF00749.18,2.2e-111
12,Rinke_et_al,da1084eca614d3cfca39cae996b4ad4e9a6ecc0a6d3ca46b0c8e7e30,447,Ribosomal_L2_C,PF03947.15,8.5e-58
13,Rinke_et_al,be436aa6d1f005f5ef115838fb501e0108ddf47da8443f6dffc8b3e0,73,AdoHcyase,PF05221.14,1.4e-126
14,Rinke_et_al,819481f24aac958d598486210ba76402515c2dc5acb9a2fac252cdbe,184,Ribosomal_S7,PF00177.18,3.2e-69
15,Rinke_et_al,495d9a56689276fcfa12aad67dbcc9bd1e250dddc79e248e8e9313e9,4674,UPF0004,PF00919.17,6.1e-23
16,Rinke_et_al,e41cbc23dbb8589308e32484d4901dd18fa92e8ab2f554f80da715cf,2916,RNA_pol_Rpb6,PF01192.19,5.6e-20
17,Rinke_et_al,709ea7ee32cbf4b55c1501868a099ff0dee68afd5b5878054a103944,177,Ribosomal_L11,PF00298.16,7.9e-24
18,Rinke_et_al,10ad893a11342e336f81ce82e4a00148909c2583b08fcd5a49efe46b,438,Ribosomal_L5_C,PF00673.18,1.1e-41
