entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Campbell_et_al,ea289389e267ba465f34dfc21dddb5fb1b5e3690b1870274f5485e3d,442,DNA_pol3_beta_2,PF02767.11,7.0e-42
1,Campbell_et_al,9ef259621f8cccbf6053add243923de21b0e4e8872855898cae4d1a1,6212,Ribosomal_L3,PF00297.17,1.5e-35
2,Campbell_et_al,d1bfa7b705070899ec5642beb7dd67ebfee969ae4918c4d327141e6d,2354,Enolase_N,PF03952.11,4.5e-63
3,Campbell_et_al,ca96a73bc778b4475df40b315fe877c13131908ecc09b8788f09088b,6225,RNA_pol_Rpb2_2,PF04561.9,4.0e-32
4,Campbell_et_al,a51160a3f8ba5201c5c910cc43af5ab7e14420e7f0fd390bb2e135b3,6321,Val_tRNA-synt_C,PF10458.4,4.1e-19
5,Campbell_et_al,64e1992e630d41e35c1e416340649fcd77a5ec106ef5a35ff0f28a66,4321,TruB_N,PF01509.13,4.9e-53
6,Campbell_et_al,a899bb12a0d2179f7782206280c04bd590ff666a9d25d4cc99d040ba,6192,SecY,PF00344.15,6.8e-115
7,Campbell_et_al,790fbc5b360cacc64387f0215377e584fdf542b65042c4e4e732e8cf,1217,S-AdoMet_synt_C,PF02773.11,1.3e-65
8,Campbell_et_al,799365819517634d8b9d63f00a6c43ffc9911403a3f4be27b7189783,1397,RecA,PF00154.16,1.3e-179
9,Campbell_et_al,8a24db30801dcee9d858585623da21d989feddec75598c0dfa6e2ecc,3975,eIF-1a,PF01176.14,1.0e-23
10,Campbell_et_al,b16a4bbc2e25e989461429d2ca7996c143161e04f1a459a5c16db2c3,4755,Ribosomal_L21p,PF00829.16,3.0e-32
11,Campbell_et_al,842627d0784196879d604846fa50216ea78986c3c5d25bd946cec82f,1766,TRCF,PF03461.10,2.0e-29
12,Campbell_et_al,2322e964d3711744d69611c3b2cf327bb407b5dfa39ae5167edf86f2,6208,Ribosomal_S19,PF00203.16,1.5e-36
13,Campbell_et_al,181057cdef3b2e7899c64e7bb7d7ada3ccf79c582b3a37da41c5eadd,6205,Ribosomal_L16,PF00252.13,1.5e-54
14,Campbell_et_al,30ae56de7688881b2d057ae8bd08c1906845a841be98ad6d37180f56,4396,IF3_C,PF00707.17,7.6e-36
15,Campbell_et_al,25864330ad1aefff1cab7cd3b5fbd3c6800ffbb3594937dc018d4f97,6068,GAD,PF02938.9,3.9e-09
16,Campbell_et_al,202a319d6e75dbb88ebf86ce11469a3d02fa7723ef3eaa199ead12e0,2382,Competence,PF03772.11,7.2e-62
17,Campbell_et_al,b025527b3fdcfbb4cbc815601ee9aaaf4338ac4b3d03cf05c33c2994,442,DNA_pol3_beta,PF00712.14,1.2e-39
18,Campbell_et_al,aed33c567101db5b4a1706bf94d8f4f9212e2f624971bea4db3d33e7,6202,Ribosomal_L14,PF00238.14,3.2e-57
19,Campbell_et_al,1589e03511564ae71944f6e6e2c976e635d473219d22419d886e1124,6203,Ribosomal_S17,PF00366.15,1.5e-30
20,Campbell_et_al,c198a01dcd90ebc5f6aaeb3716e27c58da2b72b2b8f79641da575642,6225,RNA_pol_Rpb2_3,PF04565.11,2.6e-33
21,Campbell_et_al,37df70703d0fe97a99028f934dbe9a097903443ac35c9ca235cb9704,6107,Ribosomal_S6,PF01250.12,7.3e-30
22,Campbell_et_al,d2d69fb2d3507ad4bb00a199011895468c8711b651d42045357b2a68,973,IPPT,PF01715.12,1.2e-72
23,Campbell_et_al,6d08a1ff1fc2f1f7c3dac4e58960ecf6718246656a228aab0abb5312,4398,Ribosomal_L35p,PF01632.14,1.9e-19
24,Campbell_et_al,bbd02b53c877a930de9567afcf7b07f69efdfb80480cdea36b852608,6108,Ribosomal_S18,PF01084.15,2.3e-26
25,Campbell_et_al,ecd86820832d169aba70516c8647506034c696849a404d92085ef660,6213,Ribosomal_S10,PF00338.17,7.3e-45
26,Campbell_et_al,09600fa4caa56ce9d50e55b5bf8a0301a7cefd82a92f40e64b61d6cb,6190,Ribosomal_S13,PF00416.17,6.8e-40
27,Campbell_et_al,77f5559ca21153c26eef9f32cfa34f160652c1daeb743af4f0adfcae,6197,Ribosomal_L6,PF00347.18,1.1e-42
28,Campbell_et_al,7ad9da9f636c5593c941ffb7ecd00a0031f33a75f518b5276f2e1999,4678,SRP_SPB,PF02978.14,4.9e-33
29,Campbell_et_al,ecccd690b11645b5da0f703b3e1f6444b23fe8410031041946267302,6210,Ribosomal_L23,PF00276.15,1.0e-27
30,Campbell_et_al,c311d78c93d30d3cc26ba3353886428c79be81031d6d6f752f0fa2c9,2402,Ribosomal_S2,PF00318.15,2.3e-85
31,Campbell_et_al,d18ca1010f9dd1555d55006154eede54d1a7b69bc70132411a7d9bc8,4343,UPF0079,PF02367.12,2.2e-27
32,Campbell_et_al,a043e40ce7fa5b7d14388935188034c3d2b966db697965bf0182c87c,4319,IF2_N,PF04760.10,8.5e-12
33,Campbell_et_al,e7a4e439ec63067ffc20f5763f9a3ced22e0dc77e257f0aafd595800,2650,UPF0081,PF03652.10,4.4e-42
34,Campbell_et_al,ecf21030f62b23c249ef7886638e08e40b48c6ad023742823ea37080,6200,Ribosomal_L5_C,PF00673.16,2.2e-43
35,Campbell_et_al,cc0464700ac039fe5647d7e5cde1b35590d6f380e98585cb1f5f53cf,6189,Ribosomal_S11,PF00411.14,7.0e-50
36,Campbell_et_al,6b9797cda56f4111ff654ccda47b364139d14adc7b49980c5eb6c0ff,6198,Ribosomal_S8,PF00410.14,2.0e-49
37,Campbell_et_al,317169cb8ce9e427c8f93cb642198c6a7944a267e90067f70df895db,6195,Ribosomal_S5_C,PF03719.10,2.9e-33
38,Campbell_et_al,b29a5d84bfb710e854cb6e4aef5e7bfc30652e65ae0fba4121d9b90d,4399,Ribosomal_L20,PF00453.13,1.9e-46
39,Campbell_et_al,cba99754f7be3d0f91a455cdfae9b225a6c7038a7f242ac58ddcbd87,6188,RNA_pol_L,PF01193.19,2.3e-22
40,Campbell_et_al,5714896ab331fb494451be71fc1b374c0f5217255e14bb628cb24c0c,2484,Trigger_N,PF05697.8,2.4e-41
41,Campbell_et_al,d9facf650d743fdf8bdd3a4cd2b6377a127a171f51badd9f6d5d86a9,4404,FDX-ACB,PF03147.9,8.4e-27
42,Campbell_et_al,c9ab0c2942eb19eb8b496c9d1f7696afbf2647b78c581a8d4c4c2caf,2616,dsrm,PF00035.20,4.3e-15
43,Campbell_et_al,7b62c25c352b0ba6b07f9beb386b58863dc9345331a2b6e1e6eb7168,2482,zf-C4_ClpX,PF06689.8,7.4e-24
44,Campbell_et_al,f7786a5c80c9888009224cde6f9a1f5bf582766c1bf46b146657549e,4507,GidB,PF02527.10,5.3e-38
45,Campbell_et_al,867c40a0059d9803894d405923992589246daf4e2ed671c85b017c16,6193,Ribosomal_L18e,PF00828.14,1.5e-30
46,Campbell_et_al,8740f356370acf16183eaa1eccf675ae4cd5ce5000292b95f2998734,6204,Ribosomal_L29,PF00831.18,3.6e-25
