entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Ribosomal_RNAs,927ef5f68ed050f82087204c017d2c8bd5f52e8c2c15c4192369026a,4397,Bacterial_16S_rRNA,RF00177,7.3e-251
1,Ribosomal_RNAs,4dfbc6c77e9c39cba30ba5e2fb02f7fab405a9d74f6e1d0695950dd9,4398,Archaeal_23S_rRNA,-,4.8e-283
2,Campbell_et_al,8c933080e23415994b089f463d99f573131586e60a65a67d050cfbdc,4004,RNA_pol_Rpb2_6,PF00562.23,1.1e-164
3,Campbell_et_al,03e19796c90b8866a86e6d5a4a54251d080beb7acd9a2f8bec63d606,3281,RecA,PF00154.16,1.7e-178
4,Campbell_et_al,f4196b4aab598940e901006f8b4019f08c4be2604089603b45dc2708,641,GAD,PF02938.9,5.0e-34
5,Campbell_et_al,63cd795c91db730f8701cddc877ee1a0382c52f8c40b76ed88a5ae8e,3999,Ribosomal_L11_N,PF03946.9,1.0e-33
6,Campbell_et_al,043ae7227a25a55d1ddb75fa9014ed53bda526ddd410c88e43858e95,4005,RNA_pol_Rpb1_3,PF04983.13,4.4e-39
7,Campbell_et_al,dc9859698f867a00de2c1ef15efd38b1ae7e9a1240476874cda07eb5,795,CoaE,PF01121.15,2.0e-67
8,Campbell_et_al,5532d6e5a51f39ccb87a819d915279cfe237d8b129cacecb72f6da05,3305,Ribosomal_S15,PF00312.17,1.2e-33
9,Campbell_et_al,74c0e55231c1a5402b19cd4ac0f3a06c0e045c3e1b9a51effb37a737,4030,Ribosomal_S5,PF00333.15,2.3e-35
10,Campbell_et_al,cdcd34d41f485d93ccb9e9416af4e03d4ddf9b9d5625059071bf6d2d,1762,RimM,PF01782.13,7.9e-23
11,Campbell_et_al,b9f638dc104dcaee153ecab9c717f19823837743ab0acf4f8f81ba0e,4032,Ribosomal_L18e,PF00828.14,8.9e-36
12,Campbell_et_al,86170fe9d4db9512f96f33954d91a2462ed7c503c61ba52bcd296c8d,2534,DNA_pol3_beta,PF00712.14,7.3e-55
13,Campbell_et_al,78ec9b4eb60158ee606d48d0cadf69dc2a8d2ba6f83f15a0fad3037c,431,LepA_C,PF06421.7,6.4e-56
14,Campbell_et_al,8159a565be49018a55de04558ef6e4525e0aa77d5b1dd41338cacca6,2845,UPF0079,PF02367.12,2.2e-43
15,Campbell_et_al,4ce1bb306d07fc0b0c8f5f5b4b8f0e99fa9e73c1ed8bc78733ca183f,4040,RNA_pol_L,PF01193.19,1.3e-21
16,Campbell_et_al,8c4be31fb31b17673057956be963814b23f899c7c5ee280201e2f0d9,1742,Ribosomal_L28,PF00830.14,7.8e-22
17,Campbell_et_al,2d07f2e78658794215cb3f9017bb80d4432fe4143ef861fd6ab718d8,661,RuvA_C,PF07499.8,7.3e-15
18,Campbell_et_al,407e4bb95f945d0901e946d03d9764f5e4bc4d2a7a351ebbf4a50946,2226,Enolase_C,PF00113.17,1.7e-144
19,Campbell_et_al,fa671637d1e8c32e390df51edec28fb9ded20d5ad13ea49c1e2c2818,4027,Ribosomal_S8,PF00410.14,6.8e-54
20,Campbell_et_al,3810f086185b628f53b8b977405e028fc1c772124118f90c2c0dbd43,4144,TRCF,PF03461.10,2.4e-30
21,Campbell_et_al,bf0136fccb7323cf9602cefba981ef98fb1e64258dadaf7d39d6e6a5,711,Trigger_N,PF05697.8,1.4e-47
22,Campbell_et_al,afe9e0f0ceaa005ab6f7688d2bd8b50fb1dfdbc67f401fe969ae8e60,777,IF3_C,PF00707.17,5.6e-39
23,Campbell_et_al,73db50aeeffc5f735d9515d180e8664b38f175bf36fd9afc38b2b524,4004,RNA_pol_Rpb2_45,PF10385.4,2.0e-27
24,Campbell_et_al,50c1cc74bb4beee75321cfcae809243cd1160a562d2f8bed5436a589,4022,Ribosomal_S17,PF00366.15,3.7e-32
25,Campbell_et_al,80f74bde84e914704c7aac41097a5d1080f5475331ab8cf98d5ca169,1878,Arg_tRNA_synt_N,PF03485.11,3.5e-29
26,Campbell_et_al,83d4cb45ab759177513539c16158602f1a2ba50d387cd8437aac1cc6,4047,Ribosomal_S9,PF00380.14,9.5e-50
27,Campbell_et_al,75080a27ee55ed0c9e6a9446dfc657c6b033e5aac6aae6d4db160a51,753,Phe_tRNA-synt_N,PF02912.13,3.9e-29
28,Campbell_et_al,93810f0fa6ec09aa8f89b375abc0d90477cb103d135c963a007db6d8,4033,SecY,PF00344.15,8.3e-111
29,Campbell_et_al,ab4532323d7fb0446680d442a670a71e3c6742773afc1fe2b5a4e2d7,4041,Ribosomal_L17,PF01196.14,3.4e-43
30,Campbell_et_al,932633c88ff049347626125681c5edcb9eac1a2ca98aa705bc0c6659,1896,CTP_synth_N,PF06418.9,1.7e-138
31,Campbell_et_al,6b3c31620ebff0a1eceeb7d8deeba4b2e623569b63ef7788e6351b1f,753,tRNA-synt_2d,PF01409.15,7.8e-111
32,Campbell_et_al,84c70bedbcc09c7c415638797614ab93ae2e317fd45389d5652cc68f,2536,Ribonuclease_P,PF00825.13,1.3e-35
33,Campbell_et_al,2fbf459f75e72d6c077ee9f8b2203b5f9de6ac1f7e75cde7b67f3b8e,443,Oligomerisation,PF02410.10,1.6e-35
34,Campbell_et_al,880795e78d99a646d06a442ccd34e2badae9e54fc53bef29ee4abd87,4005,RNA_pol_Rpb1_1,PF04997.7,1.7e-102
35,Campbell_et_al,4f6c021334a1a10a142565d67c5bc5216289b635fec05ab90c650ade,752,B5,PF03484.10,1.9e-20
36,Campbell_et_al,4887ea6d5db4c8592e1017127ffb8282eb867b01c26130abc96618e8,4004,RNA_pol_Rpb2_2,PF04561.9,3.9e-39
37,Campbell_et_al,8dbd01c32e62ad40dd1db7f14c2657828b05885efa454fa14e40eb1c,4008,Ribosomal_S7,PF00177.16,3.7e-66
38,Campbell_et_al,c9096ceda85aba187b58a5849d88ab7ebf9a679451fb2f79366f5461,4045,PseudoU_synth_1,PF01416.15,3.1e-40
39,Campbell_et_al,5c47e4a9ecdd1f154d8b513a991873fd5b013adda76a8647e463279a,3999,Ribosomal_L11,PF00298.14,2.5e-33
40,Campbell_et_al,ad80e3afdb1ba96edcda425b37d79fa4ce445c2e99f5f3b8d5fea86e,1683,MurB_C,PF02873.11,4.1e-43
41,Campbell_et_al,18dde28b8eb5aa0b970c6d0d77faa621ea685d13751697f9476306ef,308,THF_DHG_CYH_C,PF02882.14,3.7e-77
42,Campbell_et_al,679d566aeb0650a9129325c31196aa55f3387805e997a865944ef7ba,683,Ribosomal_L21p,PF00829.16,7.2e-42
43,Campbell_et_al,9d5441b23c83d0533a3c168242d5e15009d0166cf43dddf3809fb89f,679,GTP1_OBG,PF01018.17,1.6e-74
44,Campbell_et_al,506c070686e7dfcf618ab842af27c7bac43abb0eb4ad95e690d86d24,4046,Ribosomal_L13,PF00572.13,1.6e-57
45,Campbell_et_al,38d11b73489e3659a94756b6b5757fb3368057293af0078f40810f84,4016,Ribosomal_L2_C,PF03947.13,4.3e-61
