entry_id,source,gene_unique_identifier,gene_callers_id,gene_name,gene_hmm_id,e_value
0,Rinke_et_al,f1a665c7f43f8b3b1609ad5f7b908ac46a555b29008466ec08ea99c2,4756,DHO_dh,PF01180.18,3.8e-102
1,Rinke_et_al,e8fd4b2395095e71f5a36c96fd81c6fabbc8515d98dd7365e335f95f,3489,CTP_synth_N,PF06418.11,1.6e-127
2,Rinke_et_al,6cd16376b0af0aba55f5e7435ec94f7b5455e0afc8ad0c06490c0d3d,2101,RNA_pol_A_bac,PF01000.23,3.1e-20
3,Rinke_et_al,9b87e07e1277fae4f92b4d226e22d7d1bfac0f0e95ee257e9e46db7d,2090,Ribosomal_L6,PF00347.20,9.0e-43
4,Rinke_et_al,0152a441659802ec2faff7c84ff2ce0862ddc14d33e0f9793f42870a,2093,Ribosomal_L30,PF00327.17,1.1e-22
5,Rinke_et_al,e72f6334e304d8a5c27f5d5c2a3625c060cd20cf073b4617ea33f9f4,633,B5,PF03484.12,5.6e-19
6,Rinke_et_al,2bcf2f228d8e7946a0210a9cdd74601457b46114b7a006e769d40ce4,2088,Ribosomal_S14,PF00253.18,3.3e-30
7,Rinke_et_al,8188b3be19cf87e8074911fcd937e362eb7e913c5fa8114731508760,172,Ham1p_like,PF01725.13,1.2e-54
8,Rinke_et_al,fed3386aa9f3a73092b47bf7481beda0f363c518722a414e225bb6d9,3267,DFP,PF04127.12,8.5e-07
9,Rinke_et_al,b1d8a99a34dee274f9417b02107f3af0c587ce90fe4b04a63c39ce01,2748,IF-2,PF11987.5,1.9e-37
10,Rinke_et_al,ce7e88c06b5e597212a8c1105d34d035b3e88958c8678cfc239dbf38,675,RNA_pol_Rpb2_7,PF04560.17,5.1e-27
11,Rinke_et_al,9bcac7545dc3144ce768d75ea829c16d01bba3fc310ffeeeecef353d,675,RNA_pol_Rpb2_1,PF04563.12,1.3e-24
12,Rinke_et_al,2174cb1fedee4eb5b970a6727cc2bb037c9fb3c485436de585041e29,977,AdoHcyase_NAD,PF00670.18,7.9e-07
13,Rinke_et_al,9a2cfbba48ab2126811e9d849d933c1a8d4b20775b60977ffbea6223,1139,Mob_synth_C,PF06463.10,5.3e-37
14,Rinke_et_al,a1f8d645c5fd20e630c7639dcc61c4669465a09aaa6a054ea5fd4627,676,RNA_pol_Rpb1_1,PF04997.9,7.8e-81
15,Rinke_et_al,1458c5e4d7981d8557ddbb57e49d80afb5ee7e4b34095fdb927c66fd,1708,TIM,PF00121.15,1.5e-91
16,Rinke_et_al,b1605607775ae63322b48131bb814e16245dfb575bd6620869dff65e,2195,Rib_5-P_isom_A,PF06026.11,1.2e-59
17,Rinke_et_al,c22473fa5047f99c43f20dbfcf0c7aa2c27f98bb389a5457059965da,2077,Ribosomal_L23,PF00276.17,1.9e-32
18,Rinke_et_al,86d9cf58ff8a148173dbe96e4739c51877dd5769cb7340511b473b2b,4635,Adenylsucc_synt,PF00709.18,3.6e-163
19,Rinke_et_al,0bb33d79ec54a090b4d261b489a434f8c7906cfe31d25f1c7bd338c0,2057,Ribosom_S12_S23,PF00164.22,2.0e-46
20,Rinke_et_al,2c78947baeef274d05190b8fe7837f762bd19fd8a6574af9f6f6ebb8,2080,Ribosomal_L22,PF00237.16,3.1e-28
21,Rinke_et_al,c0e5653a390333bacb9037f1ed03f6e7c17e9a8c94fa22ece14889bc,675,RNA_pol_Rpb2_3,PF04565.13,2.6e-31
22,Rinke_et_al,8f665f4a791b0487856f89c683f90ab841a6647f45871d2830612ec5,813,PcrB,PF01884.14,5.6e-11
23,Rinke_et_al,8c7483ba45a4514dae483339b84c102211da2f3ad2e447cf829999f2,5220,ATP-synt_C,PF00137.18,1.3e-15
24,Rinke_et_al,310453cb52884285832105deaa836131de8fbe05a76fd6aac2b9b103,2085,Ribosomal_L14,PF00238.16,1.7e-57
25,Rinke_et_al,40a8a81b62f57ee994ed23fea0acea1a3996298f6d2caebbbc14874d,2095,SecY,PF00344.17,5.9e-111
26,Rinke_et_al,ba38ed4dc36a2750183165187599975d33424a4e3bfc13e319030ad5,4915,DFP,PF04127.12,2.4e-73
27,Rinke_et_al,e13dec111be60b6ca705c917e6dad0c970f600216cf7cc61c0e93ce1,1280,UPF0004,PF00919.17,3.6e-26
28,Rinke_et_al,011fd342dda239fbb965373c8a75851af10613a81e9042a90898235a,2076,Ribosomal_L4,PF00573.19,8.2e-67
29,Rinke_et_al,ccdc7c646cdf8ad19f06246a5dc12e6096356a4fc3d38d32ccf53a1f,4070,UPF0004,PF00919.17,5.4e-32
30,Rinke_et_al,7006c295ba93b7baf0bbc5b17cf2625cd56499859507a0addb52e3b3,2087,Ribosomal_L5_C,PF00673.18,1.2e-40
31,Rinke_et_al,c2d5a320e309dc0748137613e01181f2f4b4568a4bfb982256f1859b,2701,tRNA-synt_1c,PF00749.18,7.5e-109
32,Rinke_et_al,19e08a19d170608d595454bc298949bf1d8dcf0088aa094df3f33d8e,197,AdoHcyase,PF05221.14,8.3e-136
33,Rinke_et_al,7b725461860a5b9367c65770e572218f5eceb70d171f5c48ee7c5b15,2417,Enolase_C,PF00113.19,1.0e-130
34,Rinke_et_al,1098a14dc79a1c296475527a2d407fa6580aa6bd7bed0a5609addea1,3816,AdoHcyase_NAD,PF00670.18,3.0e-08
35,Rinke_et_al,58b36909ae2c728b4d7d4be3c2e06267b1d32396a39ec8f52a734079,557,DNA_binding_1,PF01035.17,1.8e-31
36,Rinke_et_al,e092a5f115d87769ee69ac2c1e2e71268d4e8bafeb7a33b98871d9c4,675,RNA_pol_Rpb2_2,PF04561.11,3.3e-32
37,Rinke_et_al,b756efed225e7786db60e1b56079f8c310b5825c34663effa856f655,1638,EFG_C,PF00679.21,2.6e-22
38,Rinke_et_al,1996b27dcd3577c4a62a6e0233783858cc897833c9ba549099a66b41,2092,Ribosomal_S5_C,PF03719.12,1.1e-30
39,Rinke_et_al,6835301f7a39f3faa50f1e16e39e2507c37fbcdc4f3601f60a3be42a,2078,Ribosomal_L2,PF00181.20,2.3e-33
40,Rinke_et_al,184e58fe5a5f903754519c3938e96638359c1d2bc04785a1110a99e2,2087,Ribosomal_L5,PF00281.16,4.8e-22
41,Rinke_et_al,522ebf43ccf03690ffd32843e9fd6d5a1e859a2a280b36fc3d0dff39,1631,Ribosomal_S15,PF00312.19,5.6e-31
42,Rinke_et_al,bf01c9c29a585420787d33ff0052e248abf64191715dde69d0afc293,676,RNA_pol_Rpb1_4,PF05000.14,9.0e-17
43,Rinke_et_al,8a9f526959ade04f144a305023f5f1d69ea2eae8a328f074c3692e28,2091,Ribosomal_L18p,PF00861.19,1.5e-44
44,Rinke_et_al,2ecb491afc379f5f3da78d7c2d5821ff008c4c1cd4654642352a521a,2521,GMP_synt_C,PF00958.19,6.0e-46
45,Rinke_et_al,3bdcaae916081197baf96711c579e8d3a27fd469fa5db654dfa4c8cc,2701,tRNA-synt_1c_C,PF03950.15,2.7e-56
46,Rinke_et_al,e08c4b92070264cc5b6d7a4052e5d783c5db08b8d943678d270dcf5f,156,YjeF_N,PF03853.12,4.4e-38
47,Rinke_et_al,61f4ef7772ce271c497b910d0c2f142cf58a6efd3d819a48c0fe24b9,814,SNO,PF01174.16,1.5e-10
48,Rinke_et_al,624cfaa5db515803c1c92be030d6a1527b5347543aaeb157272b3ada,2994,RNase_HII,PF01351.15,6.8e-38
49,Rinke_et_al,e0a249a33507d8997f98e85cdc868a5caa9720823bb6aeb9abcca50d,37,TRM,PF02005.13,2.6e-07
50,Rinke_et_al,7df30bdbf06c7611e089570b32e180418ebafa2526fca8c368aa8c51,675,RNA_pol_Rpb2_6,PF00562.25,9.0e-161
51,Rinke_et_al,f98d670a33ac27b7e76621765a83b2be30b21aa18475f08aecd9d219,2668,SUI1,PF01253.19,5.2e-21
