Species	locus_tag	refseq_id	annotation
ATCC13985	FCE86_RS31055	WP009049534.1	hypothetical protein
ATCC13985	FCE86_RS13275	WP014335965.1	retention module-containing protein
ATCC13985	FCE86_RS13165	WP009041592.1	DUF4347 domain-containing protein
ATCC13985	FCE86_RS30725	WP016491125.1	cyclic pyranopterin monophosphate synthase MoaC
ATCC13985	FCE86_RS12230	WP016702937.1	1-deoxy-D-xylulose-5-phosphate synthase
ATCC13985	FCE86_RS16805	WP020297948.1	matrixin family metalloprotease
ATCC13985	FCE86_RS03490	WP011063911.1	hypothetical protein
ATCC13985	FCE86_RS32300	WP009049534.1	hypothetical protein
ATCC13985	FCE86_RS17330	WP017737192.1	acetyl-CoA carboxylase biotin carboxylase subunit
ATCC13985	FCE86_RS02210	WP003186930.1	type I secretion C-terminal target domain-containing protein
ATCC13985	FCE86_RS00430	WP008088213.1	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
ATCC13985	FCE86_RS15340	WP016704055.1	autotransporter domain-containing protein
ATCC13985	FCE86_RS29480	WP008047384.1	arginine-ornithine antiporter
ATCC13985	FCE86_RS11050	WP009042593.1	type I secretion C-terminal target domain-containing protein
KBS0702	FFF93_RS02990	WP011693971.1	ABC transporter ATP-binding protein
KBS0711	FFI39_RS23820	WP010399297.1	alpha-hydroxy-acid oxidizing protein
KBS0711	FFI39_RS08270	WP013236088.1	cytochrome c oxidase subunit II
KBS0711	FFI39_RS12340	WP010393863.1	mechanosensitive ion channel family protein
KBS0711	FFI39_RS05930	WP010395693.1	DNA gyrase subunit A
KBS0711	FFI39_RS10240	WP010394499.1	c-type cytochrome biogenesis protein CcsB
KBS0711	FFI39_RS09635	WP009239942.1	SufS family cysteine desulfurase
KBS0711	FFI39_RS10150	WP010394527.1	GTPase
KBS0711	FFI39_RS18470	WP020701617.1	flagellar type III secretion system pore protein FliP
KBS0711	FFI39_RS18855	WP008451236.1	ATP-dependent RNA helicase HrpA
KBS0711	FFI39_RS02960	WP018059363.1	methionine--tRNA ligase
KBS0711	FFI39_RS03000	WP008450068.1	chemotaxis response regulator protein-glutamate methylesterase
KBS0711	FFI39_RS08585	WP020656832.1	valine--tRNA ligase
KBS0711	FFI39_RS11645	WP018058224.1	acetyl-CoA C-acetyltransferase
KBS0711	FFI39_RS16150	WP020701147.1	ribonucleotide-diphosphate reductase subunit beta
KBS0711	FFI39_RS17090	WP017877147.1	DNA polymerase III subunit alpha
KBS0711	FFI39_RS17990	WP018058636.1	sulfate ABC transporter permease subunit CysW
KBS0711	FFI39_RS00465	WP020702753.1	30S ribosomal protein S2
KBS0711	FFI39_RS01060	WP017876556.1	methyl-accepting chemotaxis protein
KBS0711	FFI39_RS02160	WP010397062.1	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
